orthogroup	orthogroup_name_Mus	presence_expression	gain_expression	loss_expression	presence_conservation	gain_conservation	loss_conservation	n_presences_sps	is_tfs	is_ion	is_sig	is_neu	is_siggpcr	is_myo	genes_Tadh	genes_TrH2	genes_Hhon	genes_HoiH23	genes_Nvec	genes_Spis	genes_Hvul	genes_Mmus	genes_Dmel	genes_Mlei	genes_Spolac	annot_tfs	annot_ion	annot_sig	annot_neu	annot_siggpcr	annot_myo	pfam_architecture
OG_2565	ring_finger_protein_38/ring_finger_protein_44	Dmel,Hhon,Tadh,TrH2	CniBilPla	Cnidaria,HoiH23,Mmus	Dmel,Hhon,HoiH23,Hvul,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa	Mlei	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT64121	TrH2_TrispH2_007077-RA	Hhon_g04393.t1						Dmel_FBtr0082118									zf-RING_2/
OG_3059	Tia1/TIA1_cytotoxic_granule_associated_RNA_binding_protein	Dmel,HoiH23,Mmus,Tadh	CniBilPla	Cnidaria,Hhon,TrH2	Dmel,Hhon,HoiH23,Hvul,Mmus,Nvec,Spis,Tadh	CniBilPla	TrH2	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT28438		Hhon_g02252.t1	HoiH23_PlH23_003281-RA				Mmus_ENSMUST00000095753	Dmel_FBtr0344217,Dmel_FBtr0344296									RRM_1/RRM_1/RRM_1/
OG_3594	Ras_protein_specific_guanine_nucleotide_releasing_factor_1/Rasgrf1/Rasgrf2	HoiH23,Mmus,Tadh,TrH2	CniBilPla	Cnidaria,Dmel,Hhon	Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa	Dmel	4	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Tadh_TriadT22773	TrH2_TrispH2_002562-RA	Hhon_g00554.t1	HoiH23_PlH23_001136-RA				Mmus_ENSMUST00000034912,Mmus_ENSMUST00000099326										PH/RhoGEF/RasGEF_N/RasGEF/,RhoGEF/RasGEF_N/RasGEF/
OG_4007	Trim37/tripartite_motif_containing_37	HoiH23,Mmus,Tadh,TrH2	CniBilPla	Cnidaria,Dmel,Hhon	Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa	Dmel	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT58319	TrH2_TrispH2_002839-RA	Hhon_g07588.t1	HoiH23_PlH23_003784-RA				Mmus_ENSMUST00000041282										zf-B_box/MATH/
OG_4439	extended_synaptotagmin_2	Hhon,HoiH23,Spis,Tadh	CniBilPla	Bilateria,Hvul,Nvec,TrH2	Dmel,Hhon,HoiH23,Hvul,Mmus,Nvec,Spis,Tadh	CniBilPla	TrH2	4	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Tadh_TriadT61664		Hhon_g05559.t1	HoiH23_PlH23_004937-RA		Spis_XP_022798520_1									Synaptotagmin.HG1.49:ESYT1/ESYT2/ESYT3			C2/C2/C2/,SMP_LBD/C2/C2/C2/
OG_6038	Slc6a1/Slc6a17/solute_carrier_family_6_member_1/solute_carrier_family_6_member_11/solute_carrier_family_6_member_12/solute_carrier_family_6_member_13/solute_carrier_family_6_member_14/solute_carrier_family_6_member_15/solute_carrier_family_6_member_18/solute_carrier_family_6_member_19/solute_carrier_family_6_member_2/solute_carrier_family_6_member_20/solute_carrier_family_6_member_4/solute_carrier_family_6_member_5/solute_carrier_family_6_member_8	Dmel,Mmus,Tadh,TrH2	CniBilPla	Cnidaria,Hoilungia	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		4	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Tadh_TriadT38332	TrH2_TrispH2_007345-RA,TrH2_TrispH2_011527-RA	Hhon_g10087.t1	HoiH23_PlH23_007652-RA	Nvec_v1g228010,Nvec_v1g236066	Spis_XP_022805592_1		Mmus_ENSMUST00000032454,Mmus_ENSMUST00000169449	Dmel_FBtr0114487,Dmel_FBtr0301162,Dmel_FBtr0304867						SNF.HG1.2:like:AC136616.1/SLC6A1/SLC6A2/SLC6A3/SLC6A4/SLC6A5/SLC6A6/SLC6A7/SLC6A8/SLC6A9/SLC6A11/SLC6A12/SLC6A13/SLC6A14/SLC6A15/SLC6A16/SLC6A17/SLC6A18/SLC6A19/SLC6A20,SNF.HG1.30:like:SLC6A5/SLC6A7/SLC6A9/SLC6A14,SNF.HG1.31:like:SLC6A5/SLC6A7/SLC6A9/SLC6A14			SNF/
OG_693	Gabbr1/Gabbr2/gamma_aminobutyric_acid_type_B_receptor_subunit_1/gamma_aminobutyric_acid_type_B_receptor_subunit_2	Dmel,Mmus,Tadh,TrH2	CniBilPla	Cnidaria,Hoilungia	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		4	FALSE	FALSE	TRUE	TRUE	TRUE	FALSE	Tadh_TriadT28568,Tadh_TriadT28937,Tadh_TriadT30267,Tadh_TriadT30374,Tadh_TriadT52578,Tadh_TriadT54957,Tadh_TriadT55428,Tadh_TriadT55429,Tadh_TriadT56610,Tadh_TriadT56611,Tadh_TriadT57193,Tadh_TriadT58938,Tadh_TriadT59025,Tadh_TriadT61926,Tadh_TriadT64091	TrH2_TrispH2_003275-RA,TrH2_TrispH2_003379-RA,TrH2_TrispH2_004737-RA,TrH2_TrispH2_005747-RA,TrH2_TrispH2_005881-RA,TrH2_TrispH2_005882-RA,TrH2_TrispH2_006904-RA,TrH2_TrispH2_006905-RA,TrH2_TrispH2_006906-RA,TrH2_TrispH2_008289-RA,TrH2_TrispH2_010138-RA,TrH2_TrispH2_011116-RA,TrH2_TrispH2_011580-RA,TrH2_TrispH2_012100-RA	Hhon_g02704.t1,Hhon_g02706.t1,Hhon_g04629.t1,Hhon_g05295.t1,Hhon_g05296.t1,Hhon_g07295.t1,Hhon_g07557.t1,Hhon_g07690.t1,Hhon_g07966.t1,Hhon_g07967.t1,Hhon_g08692.t1,Hhon_g08729.t1,Hhon_g09351.t1,Hhon_g10740.t1,Hhon_g11451.t1	HoiH23_PlH23_000719-RA,HoiH23_PlH23_001275-RA,HoiH23_PlH23_003839-RA,HoiH23_PlH23_003840-RA,HoiH23_PlH23_003984-RA,HoiH23_PlH23_005343-RA,HoiH23_PlH23_008285-RA,HoiH23_PlH23_008392-RA,HoiH23_PlH23_009277-RA,HoiH23_PlH23_010039-RA,HoiH23_PlH23_010902-RA,HoiH23_PlH23_011144-RA,HoiH23_PlH23_011145-RA,HoiH23_PlH23_011312-RA,HoiH23_PlH23_011313-RA	Nvec_v1g206093,Nvec_v1g210496	Spis_XP_022787445_1,Spis_XP_022804409_1		Mmus_ENSMUST00000025338,Mmus_ENSMUST00000107749	Dmel_FBtr0078001,Dmel_FBtr0304731,Dmel_FBtr0339154					GPCRglut.HG1.10:like:GABBR1/GABBR2,GPCRglut.HG1.2:GPR156,GPCRglut.HG1.20:like:GABBR1/GABBR2,GPCRglut.HG1.29:like:GABBR1/GABBR2,GPCRglut.HG1.30:like:GABBR1/GABBR2,GPCRglut.HG1.34:like:GABBR1/GABBR2,GPCRglut.HG1.35:like:GABBR1/GABBR2,GPCRglut.HG1.36:like:GABBR1/GABBR2,GPCRglut.HG1.37:like:GABBR1/GABBR2,GPCRglut.HG1.40:like:GABBR1/GABBR2,GPCRglut.HG1.41:like:GABBR1/GABBR2,GPCRglut.HG1.42:like:GABBR1/GABBR2,GPCRglut.HG1.43:like:GABBR1/GABBR2,GPCRglut.HG1.45:like:GABBR1/GABBR2,GPCRglut.HG1.47:like:GABBR1/GABBR2,GPCRglut.HG1.5:like:GABBR1/GABBR2/GPR156,GPCRglut.HG1.6:GABBR1/GABBR2,GPCRglut.HG1.9:like:GABBR1/GABBR2/GPR156	ANF_receptor.HG2.10:like:GABBR1/GABBR2,ANF_receptor.HG2.12:like:GABBR1/GABBR2,ANF_receptor.HG2.13:like:GABBR1/GABBR2,ANF_receptor.HG2.14:like:GABBR1/GABBR2,ANF_receptor.HG2.16:like:GABBR1/GABBR2,ANF_receptor.HG2.17:like:GABBR1/GABBR2,ANF_receptor.HG2.18:like:GABBR1/GABBR2,ANF_receptor.HG2.19:like:GABBR1/GABBR2,ANF_receptor.HG2.20:like:GABBR1/GABBR2,ANF_receptor.HG2.23:like:GABBR1/GABBR2,ANF_receptor.HG2.24:like:GABBR1/GABBR2,ANF_receptor.HG2.3:like:GABBR1/GABBR2,ANF_receptor.HG2.32:like:GABBR1/GABBR2,ANF_receptor.HG2.4:like:GABBR1/GABBR2,ANF_receptor.HG2.46:like:GABBR1/GABBR2,ANF_receptor.HG2.47:like:GABBR1/GABBR2,ANF_receptor.HG2.5:like:GABBR1/GABBR2,ANF_receptor.HG2.52:like:GABBR1/GABBR2	GPCRglut.HG1.10:like:GABBR1/GABBR2,GPCRglut.HG1.2:GPR156,GPCRglut.HG1.20:like:GABBR1/GABBR2,GPCRglut.HG1.29:like:GABBR1/GABBR2,GPCRglut.HG1.30:like:GABBR1/GABBR2,GPCRglut.HG1.34:like:GABBR1/GABBR2,GPCRglut.HG1.35:like:GABBR1/GABBR2,GPCRglut.HG1.36:like:GABBR1/GABBR2,GPCRglut.HG1.37:like:GABBR1/GABBR2,GPCRglut.HG1.40:like:GABBR1/GABBR2,GPCRglut.HG1.41:like:GABBR1/GABBR2,GPCRglut.HG1.42:like:GABBR1/GABBR2,GPCRglut.HG1.43:like:GABBR1/GABBR2,GPCRglut.HG1.45:like:GABBR1/GABBR2,GPCRglut.HG1.47:like:GABBR1/GABBR2,GPCRglut.HG1.5:like:GABBR1/GABBR2/GPR156,GPCRglut.HG1.6:GABBR1/GABBR2,GPCRglut.HG1.9:like:GABBR1/GABBR2/GPR156		7tm_3/,ANF_receptor/,ANF_receptor/7tm_3/,ANF_receptor/ANF_receptor/7tm_3/
OG_7385	Oaz1/Oaz2/ornithine_decarboxylase_antizyme_1	HoiH23,Mmus,Tadh,TrH2	CniBilPla	Cnidaria,Dmel,Hhon	Hhon,HoiH23,Mmus,Nvec,Spis,Tadh,TrH2	CniBilPla	Dmel,Hvul	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT63527	TrH2_TrispH2_001016-RA	Hhon_g02903.t1	HoiH23_PlH23_006628-RA				Mmus_ENSMUST00000153700,Mmus_ENSMUST00000180036										ODC_AZ/
OG_7745	c_Maf_inducing_protein/Cmip	Hhon,Mmus,Tadh,TrH2	CniBilPla	Cnidaria,Dmel,HoiH23	Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Tadh,TrH2	Metazoa	Dmel,Spolac	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT52529	TrH2_TrispH2_000185-RA	Hhon_g04476.t1			Spis_XP_022803474_1	Hvul_g5391_1	Mmus_ENSMUST00000166750										
OG_936	Pcbp3/poly_rC_binding_protein_3	Dmel,Hvul,Tadh,TrH2	CniBilPla	Anthozoa,Hoilungia,Mmus	Dmel,Hhon,HoiH23,Hvul,Mmus,Nvec,Spolac,Tadh,TrH2	Metazoa	Mlei,Spis	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT61998	TrH2_TrispH2_008410-RA						Mmus_ENSMUST00000001148	Dmel_FBtr0304984									KH_1/KH_1/KH_1/
OG_962	Ndufa4/NDUFA4_mitochondrial_complex_associated	Hvul,Mmus,Tadh,TrH2	CniBilPla	Anthozoa,Dmel,Hoilungia	Dmel,Hhon,Hvul,Mmus,Nvec,Spis,Tadh,TrH2	CniBilPla	HoiH23	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_wf_g7591.t1	TrH2_TrispH2_010295-RA	Hhon_g01319.t1				Hvul_g22644_1	Mmus_ENSMUST00000204714										B12D/
OG_9742	Cacnb3/Cacnb4/calcium_voltage_gated_channel_auxiliary_subunit_beta_1/calcium_voltage_gated_channel_auxiliary_subunit_beta_2/calcium_voltage_gated_channel_auxiliary_subunit_beta_4	Dmel,Hvul,Mmus,TrH2	CniBilPla	Anthozoa,Hoilungia,Tadh	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		4	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Tadh_TriadT22195			HoiH23_PlH23_000883-RA	Nvec_v1g26196		Hvul_g23284_1	Mmus_ENSMUST00000078324,Mmus_ENSMUST00000230490	Dmel_FBtr0310279						Guanylate_kin.HG2.0:CACNB1/CACNB2/CACNB3/CACNB4			Guanylate_kin/
OG_10138	Ndfip2/Nedd4_family_interacting_protein_1	Hhon,HoiH23,Tadh,TrH2	Placozoa		Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT56783	TrH2_TrispH2_008680-RA	Hhon_g09830.t1	HoiH23_PlH23_007842-RA				Mmus_ENSMUST00000181969										DUF2370/
OG_10150	endoplasmic_reticulum_aminopeptidase_1/endoplasmic_reticulum_aminopeptidase_2/glutamyl_aminopeptidase/leucyl_and_cystinyl_aminopeptidase/thyrotropin_releasing_hormone_degrading_enzyme	Hhon,HoiH23,Tadh,TrH2	Placozoa		Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Tadh,TrH2	Metazoa	Spolac	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT52314,Tadh_TriadT63532	TrH2_TrispH2_007004-RA,TrH2_TrispH2_008669-RA,TrH2_TrispH2_008670-RA	Hhon_g02258.t1,Hhon_g04061.t1,Hhon_g04062.t1	HoiH23_PlH23_000820-RA,HoiH23_PlH23_000821-RA,HoiH23_PlH23_000823-RA														ERAP1_C/,Peptidase_M1_N/Peptidase_M1/ERAP1_C/,Peptidase_M1_N/Peptidase_M1/ERAP1_C/ERAP1_C/
OG_11089	heat_shock_protein_90_alpha_family_class_B_member_1/Hsp90aa1	Hhon,HoiH23,Tadh,TrH2	Placozoa		Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT57068	TrH2_TrispH2_002405-RA	Hhon_g07501.t1	HoiH23_PlH23_010969-RA	Nvec_v1g178640			Mmus_ENSMUST00000021698										HATPase_c/HSP90/
OG_11478	oxysterol_binding_protein_like_6	Hhon,HoiH23,Tadh,TrH2	Placozoa		Hhon,HoiH23,Mmus,Spolac,Tadh,TrH2	Metazoa	Cnidaria,Dmel,Mlei	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT21915	TrH2_TrispH2_003948-RA	Hhon_g02414.t1	HoiH23_PlH23_002217-RA														Oxysterol_BP/,PH_8/Oxysterol_BP/
OG_11563	microtubule_associated_protein_1_light_chain_3_gamma	Hhon,HoiH23,Tadh,TrH2	Placozoa		Hhon,HoiH23,Tadh,TrH2	Placozoa		4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT57027	TrH2_TrispH2_002367-RA	Hhon_g07463.t1	HoiH23_PlH23_002946-RA														Atg8/
OG_11603	G_protein_subunit_alpha_i1/G_protein_subunit_alpha_i3	Hhon,HoiH23,Tadh,TrH2	Placozoa		Hhon,HoiH23,Tadh,TrH2	Placozoa		4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT30457	TrH2_TrispH2_010404-RA	Hhon_g09665.t1	HoiH23_PlH23_006081-RA														G-alpha/
OG_2421	cytochrome_b561	Hhon,HoiH23,Tadh,TrH2	Placozoa		Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Tadh,TrH2	Metazoa	Spolac	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT55036,Tadh_TriadT63806	TrH2_TrispH2_005729-RA	Hhon_g09438.t1	HoiH23_PlH23_002438-RA,HoiH23_PlH23_002457-RA														Cytochrom_B561/
OG_3212	G_protein_subunit_beta_1/Gnb1	Hhon,HoiH23,Tadh,TrH2	Placozoa		Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT64010	TrH2_TrispH2_009140-RA	Hhon_g01920.t1	HoiH23_PlH23_001484-RA	Nvec_v1g105798			Mmus_ENSMUST00000030940										WD40/WD40/WD40/WD40/WD40/WD40/
OG_3671	USH1_protein_network_component_sans	Hhon,HoiH23,Tadh,TrH2	Placozoa		Hhon,HoiH23,Hvul,Mlei,Nvec,Spis,Tadh,TrH2	Metazoa	Bilateria,Spolac	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT56227,Tadh_wf_g9267.t1	TrH2_TrispH2_000867-RA,TrH2_TrispH2_008726-RA	Hhon_g02993.t1,Hhon_g08082.t1,Hhon_g11571.t1	HoiH23_PlH23_005704-RA,HoiH23_PlH23_009530-RA	Nvec_v1g45158													Ank_2/
OG_3896	synaptotagmin_like_4/synaptotagmin_like_5	Hhon,HoiH23,Tadh,TrH2	Placozoa		Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		4	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Tadh_TriadT56437	TrH2_TrispH2_008996-RA	Hhon_g05394.t1	HoiH23_PlH23_000292-RA					Dmel_FBtr0334292						RabphilinRIM.HG1.2:like:RIMS1/RIMS2/RPH3A/RPH3AL;Synaptotagmin.HG1.45:like:SYTL1/SYTL2/SYTL3/SYTL4/SYTL5,Synaptotagmin.HG1.45:like:SYTL1/SYTL2/SYTL3/SYTL4/SYTL5			C2/,FYVE_2/C2/
OG_4171	thioredoxin	Hhon,HoiH23,Tadh,TrH2	Placozoa		Hhon,HoiH23,Hvul,Mlei,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa	Bilateria	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT62217	TrH2_TrispH2_008362-RA	Hhon_g10159.t1	HoiH23_PlH23_006037-RA														Thioredoxin/
OG_4184	protein_kinase_cGMP_dependent_1	Hhon,HoiH23,Tadh,TrH2	Placozoa		Dmel,Hhon,HoiH23,Mlei,Nvec,Spis,Tadh,TrH2	Metazoa	Hvul,Mmus,Spolac	4	FALSE	FALSE	TRUE	FALSE	FALSE	FALSE	Tadh_TriadT30166	TrH2_TrispH2_000260-RA	Hhon_g05963.t1	HoiH23_PlH23_003099-RA										Pkinase.HG29.15:like:PRKG1				cNMP_binding/cNMP_binding/Pkinase/
OG_4434	proprotein_convertase_subtilisin_kexin_type_1/proprotein_convertase_subtilisin_kexin_type_5/proprotein_convertase_subtilisin_kexin_type_6	Hhon,HoiH23,Tadh,TrH2	Placozoa		Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT22925	TrH2_TrispH2_001345-RA	Hhon_g01213.t1	HoiH23_PlH23_000508-RA														S8_pro-domain/Peptidase_S8/P_proprotein/
OG_4790	multiple_coagulation_factor_deficiency_2_ER_cargo_receptor_complex_subunit	Hhon,HoiH23,Tadh,TrH2	Placozoa		Dmel,Hhon,HoiH23,Hvul,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa	Mlei	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT59229	TrH2_TrispH2_002021-RA	Hhon_g00748.t1	HoiH23_PlH23_006814-RA														EF-hand_7/
OG_5176	ADAM_metallopeptidase_with_thrombospondin_type_1_motif_14/ADAM_metallopeptidase_with_thrombospondin_type_1_motif_15/C_type_lectin_domain_family_1_member_B/mannose_receptor_C_type_2	Hhon,HoiH23,Tadh,TrH2	Placozoa		Hhon,HoiH23,Tadh,TrH2	Placozoa		4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT62329,Tadh_wf_g11446.t1	TrH2_TrispH2_008617-RA,TrH2_TrispH2_008619-RA	Hhon_g11081.t1,Hhon_g11083.t1	HoiH23_PlH23_006616-RA,HoiH23_PlH23_006618-RA														Lectin_C/,Lectin_C/TSP_1/
OG_5223		Hhon,HoiH23,Tadh,TrH2	Placozoa		Hhon,HoiH23,Tadh,TrH2	Placozoa		4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT52332	TrH2_TrispH2_007023-RA	Hhon_g04033.t1	HoiH23_PlH23_000850-RA														Sel1/Sel1/Sel1/Sel1/Sel1/,Sel1/Sel1/Sel1/Sel1/Sel1/Sel1/
OG_717	arrestin_beta_1	Hhon,HoiH23,Tadh,TrH2	Placozoa		Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT64255	TrH2_TrispH2_000779-RA	Hhon_g04953.t1	HoiH23_PlH23_003849-RA														Arrestin_N/Arrestin_C/
OG_741	RAS_p21_protein_activator_3	Hhon,HoiH23,Tadh,TrH2	Placozoa		Dmel,Hhon,HoiH23,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa	Hvul	4	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE	Tadh_TriadT63821	TrH2_TrispH2_001719-RA	Hhon_g06711.t1	HoiH23_PlH23_008536-RA											RasGAP.HG1.9:RASA2/RASA3,RasGAP.HG1.9:RASA2/RASA3;Synaptotagmin.HG1.57:RASA2/RASA3			C2/C2/RasGAP/PH/BTK/,C2/C2/RasGAP/RasGAP/PH/BTK/
OG_7412		Hhon,HoiH23,Tadh,TrH2	Placozoa		Hhon,HoiH23,Tadh,TrH2	Placozoa		4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT55772	TrH2_TrispH2_001665-RA	Hhon_g00987.t1	HoiH23_PlH23_001629-RA														
OG_7521		Hhon,HoiH23,Tadh,TrH2	Placozoa		Hhon,HoiH23,Mmus,Nvec,Spis,Tadh,TrH2	CniBilPla	Dmel,Hvul	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT55437	TrH2_TrispH2_004745-RA	Hhon_g09360.t1	HoiH23_PlH23_008917-RA														RD3/
OG_804	CD163_molecule/chromosome_16_open_reading_frame_89	Hhon,HoiH23,Tadh,TrH2	Placozoa		Dmel,Hhon,HoiH23,Mlei,Mmus,Nvec,Spis,Tadh,TrH2	Metazoa	Hvul,Spolac	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT62278,Tadh_TriadT62295,Tadh_TriadT62300	TrH2_TrispH2_010028-RA,TrH2_TrispH2_010435-RA	Hhon_g11071.t1,Hhon_g11823.t1	HoiH23_PlH23_011242-RA,HoiH23_PlH23_011702-RA														DUF4735/
OG_8414		Hhon,HoiH23,Tadh,TrH2	Placozoa		Hhon,HoiH23,Tadh,TrH2	Placozoa		4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_wf_g7093.t1	TrH2_TrispH2_000680-RA	Hhon_g00011.t1	HoiH23_PlH23_008534-RA														
OG_8423	ARFGEF_family_member_3	Hhon,HoiH23,Tadh,TrH2	Placozoa		Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Tadh,TrH2	Metazoa	Spolac	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT56511	TrH2_TrispH2_001871-RA	Hhon_g05880.t1	HoiH23_PlH23_002675-RA														DCB/DUF1981/,DUF1981/
OG_8509	midnolin	Hhon,HoiH23,Tadh,TrH2	Placozoa		Dmel,Hhon,HoiH23,Mlei,Mmus,Spolac,Tadh,TrH2	Metazoa	Cnidaria	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT58035,Tadh_TriadT58036	TrH2_TrispH2_000505-RA	Hhon_g00183.t1	HoiH23_PlH23_003154-RA														
OG_9138	core_binding_factor_subunit_beta	Hhon,HoiH23,Tadh,TrH2	Placozoa		Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Spis,Spolac,Tadh,TrH2	Metazoa	Nvec	4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Tadh_TriadT52457	TrH2_TrispH2_000111-RA	Hhon_g06160.t1	HoiH23_PlH23_001895-RA														CBF_beta/
OG_10454	ELAV_like_RNA_binding_protein_4/Elavl2/Elavl3/Elavl4	Dmel,Hvul,Mmus,Nvec	CniBil	Spis	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		4	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE					Nvec_v1g214798		Hvul_g19470_1,Hvul_g21720_1	Mmus_ENSMUST00000003501,Mmus_ENSMUST00000106597,Mmus_ENSMUST00000107116	Dmel_FBtr0070091,Dmel_FBtr0073712,Dmel_FBtr0330213									
OG_2459	Kcnc1/Kcnc2/Kcnc3	Hvul,Mmus,Nvec,Spis	CniBil	Dmel	Hvul,Mmus,Nvec,Spis	CniBil	Dmel	4	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE					Nvec_v1g114311,Nvec_v1g21646	Spis_XP_022781687_1,Spis_XP_022787126_1,Spis_XP_022798642_1	Hvul_g12305_1,Hvul_g29897_1,Hvul_g9425_1	Mmus_ENSMUST00000092175,Mmus_ENSMUST00000107906,Mmus_ENSMUST00000160433										
OG_3566	Prkca/Prkcb/Prkcg/protein_kinase_C_alpha	Dmel,Hvul,Mmus,Spis	CniBil	Nvec	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		4	FALSE	FALSE	TRUE	TRUE	FALSE	FALSE						Spis_XP_022794886_1	Hvul_g17004_1	Mmus_ENSMUST00000059595,Mmus_ENSMUST00000064989,Mmus_ENSMUST00000100301	Dmel_FBtr0087047,Dmel_FBtr0087048									
OG_4458	Scn1a/Scn3a/Scn8a/sodium_voltage_gated_channel_alpha_subunit_1/sodium_voltage_gated_channel_alpha_subunit_10/sodium_voltage_gated_channel_alpha_subunit_11/sodium_voltage_gated_channel_alpha_subunit_3/sodium_voltage_gated_channel_alpha_subunit_4/sodium_voltage_gated_channel_alpha_subunit_5/sodium_voltage_gated_channel_alpha_subunit_8/sodium_voltage_gated_channel_alpha_subunit_9	Dmel,Hvul,Mmus,Spis	CniBil	Nvec	Dmel,Hhon,HoiH23,Hvul,Mlei,Mmus,Nvec,Spis,Spolac,Tadh,TrH2	Metazoa		4	FALSE	TRUE	FALSE	FALSE	FALSE	FALSE					Nvec_NVE7348,Nvec_NVE7349	Spis_XP_022786809_1,Spis_XP_022810272_1	Hvul_g3414_1	Mmus_ENSMUST00000066432,Mmus_ENSMUST00000108909,Mmus_ENSMUST00000112366	Dmel_FBtr0330240,Dmel_FBtr0331170									
OG_4624	synaptotagmin_16/Syt13	Hvul,Mmus,Nvec,Spis	CniBil	Dmel	Dmel,Hhon,HoiH23,Hvul,Mmus,Nvec,Spis,Tadh,TrH2	CniBilPla		4	FALSE	FALSE	FALSE	TRUE	FALSE	FALSE					Nvec_v1g166469	Spis_XP_022790995_1	Hvul_g2361_1,Hvul_g4091_1	Mmus_ENSMUST00000028648										
