TrH2_hyp_clust10124.t1		DDE_Tnp_4/
TrH2_TrispH2_003485-RA	alpha_and_gamma_adaptin_binding_protein	Adaptin_binding/
TrH2_TrispH2_003486-RA	ribosomal_protein_S18	Ribosomal_S13/
TrH2_TrispH2_003487-RA	WD_repeat_domain_46	WD40/BING4CT/
TrH2_TrispH2_003488-RA	signal_peptidase_complex_subunit_2	SPC25/
TrH2_TrispH2_003489-RA		
TrH2_TrispH2_003490-RA	aminolevulinate_dehydratase	ALAD/
TrH2_TrispH2_003491-RA	tectonic_family_member_3	DUF1619/DUF1619/
TrH2_TrispH2_003492-RA	phosphohistidine_phosphatase_1	Ocnus/
TrH2_TrispH2_003493-RA	SNAP_associated_protein	Snapin_Pallidin/
TrH2_TrispH2_003494-RA	debranching_RNA_lariats_1	Metallophos/DBR1/DBR1/
TrH2_TrispH2_003495-RA	DnaJ_heat_shock_protein_family_Hsp40_member_C15	
TrH2_TrispH2_003496-RA	syntaxin_8	
TrH2_TrispH2_003497-RA	netrin_1	Laminin_EGF/Laminin_EGF/NTR/
TrH2_TrispH2_003498-RA	Ral_GEF_with_PH_domain_and_SH3_binding_motif_2	RasGEF/
TrH2_TrispH2_003499-RA	transient_receptor_potential_cation_channel_subfamily_A_member_1	Ank_5/Ank_2/Ank_2/Ank_2/Ank_2/Ank_2/Ion_trans/
TrH2_TrispH2_003500-RA	plexin_domain_containing_2	Lectin_C/
TrH2_TrispH2_003501-RA		DUF4612/
TrH2_TrispH2_003502-RA	fukutin_related_protein	LicD/
TrH2_TrispH2_003503-RA	DNL_type_zinc_finger	zf-DNL/
TrH2_TrispH2_003504-RA	ubiquitin_conjugating_enzyme_E2_S	UQ_con/
TrH2_TrispH2_003505-RA	TGF_beta_activated_kinase_1_MAP3K7_binding_protein_1	
TrH2_TrispH2_003506-RA		
TrH2_TrispH2_003507-RA		COR/Death/
TrH2_TrispH2_003508-RA		Death/Roc/COR/Death/
TrH2_TrispH2_003509-RA	leucine_rich_repeat_kinase_2	COR/
TrH2_TrispH2_003510-RA	CASP2_and_RIPK1_domain_containing_adaptor_with_death_domain	CARD/CARD/Death/
TrH2_TrispH2_003511-RA		Death/
TrH2_TrispH2_003512-RA		NuA4/
TrH2_TrispH2_003513-RA		CRT-like/
TrH2_TrispH2_003514-RA		CRT-like/
TrH2_TrispH2_003515-RA	coiled_coil_domain_containing_149	DUF2353/
TrH2_TrispH2_003516-RA	ATPase_H_transporting_V1_subunit_B2	ATP-synt_ab_N/ATP-synt_ab/
TrH2_TrispH2_003517-RA		Metallophos/
TrH2_TrispH2_003518-RA	MAX_dimerization_protein_1	HLH/
TrH2_TrispH2_003519-RA	empty_spiracles_homeobox_1	Homeodomain/
TrH2_TrispH2_003520-RA	zinc_finger_protein_618	Dimer_Tnp_hAT/
TrH2_TrispH2_003522-RA		
TrH2_TrispH2_003523-RA	sideroflexin_5	SFXNs/
TrH2_TrispH2_003524-RA	NSE4_homolog_A_SMC5_SMC6_complex_component	Nse4-Nse3_bdg/Nse4_C/
TrH2_TrispH2_003525-RA		
TrH2_TrispH2_003526-RA	testis_expressed_49	FAM183/
TrH2_TrispH2_003527-RA	Ly1_antibody_reactive	zf-LYAR/
TrH2_TrispH2_003528-RA	transforming_acidic_coiled_coil_containing_protein_1	TACC_C/
TrH2_TrispH2_003529-RA	ferric_chelate_reductase_1_like	LPMO_10/DOMON/DOMON/DOMON/
TrH2_TrispH2_003530-RA	ferric_chelate_reductase_1_like	LPMO_10/DOMON/DOMON/
TrH2_TrispH2_003531-RA		7tm_1/
TrH2_TrispH2_003532-RA		7tm_1/
TrH2_TrispH2_003533-RA		7tm_1/
TrH2_TrispH2_003534-RA		7tm_1/
TrH2_TrispH2_003535-RA		TPR_8/TPR_12/TPR_12/TPR_12/TPR_10/TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/
TrH2_TrispH2_003536-RA		TPR_12/
TrH2_TrispH2_003537-RA		TPR_12/
TrH2_TrispH2_003538-RA		TPR_12/TPR_12/TPR_12/TPR_8/TPR_12/
TrH2_TrispH2_003539-RA		TPR_12/TPR_12/TPR_10/TPR_12/TPR_12/TPR_12/TPR_10/
TrH2_TrispH2_003540-RA		TPR_12/TPR_10/TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/TPR_10/TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/
TrH2_TrispH2_003541-RA		TPR_12/TPR_12/TPR_12/TPR_12/TPR_8/TPR_10/
TrH2_TrispH2_003542-RA		TPR_12/TPR_10/TPR_12/TPR_12/TPR_7/TPR_8/TPR_12/TPR_12/
TrH2_TrispH2_003543-RA		
TrH2_TrispH2_003544-RA		7tm_1/
TrH2_TrispH2_003545-RA	cilia_and_flagella_associated_protein_99	
TrH2_TrispH2_003546-RA	progestin_and_adipoQ_receptor_family_member_3	HlyIII/
TrH2_TrispH2_003547-RA	progestin_and_adipoQ_receptor_family_member_3	HlyIII/
TrH2_TrispH2_003548-RA		
TrH2_TrispH2_003549-RA		NB-ARC/
TrH2_TrispH2_003550-RA		APAF1_C/
TrH2_TrispH2_003551-RA		
TrH2_TrispH2_003552-RA	adhesion_G_protein_coupled_receptor_E3	7tm_2/
TrH2_TrispH2_003553-RA		
TrH2_TrispH2_003554-RA		
TrH2_TrispH2_003555-RA	phospholysine_phosphohistidine_inorganic_pyrophosphate_phosphatase	Hydrolase_6/Hydrolase_like/
TrH2_TrispH2_003556-RA	ring_finger_protein_220	RNF220/zf-C3HC4_2/
TrH2_TrispH2_003557-RA	beta_1_4_galactosyltransferase_7	Glyco_transf_7N/
TrH2_TrispH2_003558-RA		
TrH2_TrispH2_003559-RA		
TrH2_TrispH2_003560-RA	ankyrin_1	Death/
TrH2_TrispH2_003561-RA		FAM53/
TrH2_TrispH2_003562-RA		
TrH2_TrispH2_003563-RA	chromosome_20_open_reading_frame_194	
TrH2_TrispH2_003564-RA		
TrH2_TrispH2_003565-RA	ciliary_associated_calcium_binding_coiled_coil_1	CLAMP/
TrH2_TrispH2_003566-RA	non_SMC_condensin_I_complex_subunit_G	UVR/Cnd3/
TrH2_TrispH2_003567-RA	coiled_coil_domain_containing_33	C2/
TrH2_TrispH2_003568-RA		FHA/PP1_bind/
TrH2_TrispH2_003569-RA	CREB3_regulatory_factor	bZIP_2/
TrH2_TrispH2_003570-RA	ectonucleoside_triphosphate_diphosphohydrolase_4	GDA1_CD39/
TrH2_TrispH2_003571-RA		
TrH2_TrispH2_003572-RA	programmed_cell_death_11	S1/S1/S1/S1/S1/Suf/
TrH2_TrispH2_003573-RA	glutamic_oxaloacetic_transaminase_1	Aminotran_1_2/
TrH2_TrispH2_003574-RA	glutamate_dehydrogenase_1	ELFV_dehydrog_N/ELFV_dehydrog/
TrH2_TrispH2_003575-RA	negative_elongation_factor_complex_member_A	
TrH2_TrispH2_003576-RA	UDP_GlcNAc_betaGal_beta_1_3_N_acetylglucosaminyltransferase_10_putative	Galactosyl_T/
TrH2_TrispH2_003577-RA		
TrH2_TrispH2_003578-RA	T_box_transcription_factor_18	T-box/
TrH2_TrispH2_003579-RA	major_facilitator_superfamily_domain_containing_10	MFS_1/
TrH2_TrispH2_003580-RA	TM2_domain_containing_2	TM2/
TrH2_TrispH2_003581-RA	KAT8_regulatory_NSL_complex_subunit_3	
TrH2_TrispH2_003582-RA	THO_complex_1	efThoc1/
TrH2_TrispH2_003583-RA		DOMON/DOMON/
TrH2_TrispH2_003584-RA		Metalloenzyme/iPGM_N/
TrH2_TrispH2_003585-RA	ubiquitin_like_domain_containing_CTD_phosphatase_1	ubiquitin/NIF/
TrH2_TrispH2_003586-RA	apoptotic_peptidase_activating_factor_1	NB-ARC/APAF1_C/WD40/WD40/WD40/
TrH2_TrispH2_003587-RA	apoptotic_peptidase_activating_factor_1	NB-ARC/APAF1_C/WD40/WD40/WD40/WD40/WD40/WD40/WD40/
TrH2_TrispH2_003588-RA		TPR_12/
TrH2_TrispH2_003589-RA	ankyrin_1	TPR_12/TPR_12/TPR_12/Roc/COR/Death/
TrH2_TrispH2_003590-RA	lysine_demethylase_3A	JmjC/
TrH2_TrispH2_003591-RA	leucine_aminopeptidase_3	Peptidase_M17_N/Peptidase_M17/
TrH2_TrispH2_003592-RA	zinc_finger_DHHC_type_palmitoyltransferase_16	DHHC/
TrH2_TrispH2_003593-RA	O_GlcNAcase	NAGidase/
TrH2_TrispH2_003594-RA	O_GlcNAcase	NAGidase/
TrH2_TrispH2_003595-RA	protein_O_mannose_kinase	PIP49_C/
TrH2_TrispH2_003596-RA	exportin_7	IBN_N/
TrH2_TrispH2_003597-RA	mediator_complex_subunit_28	
TrH2_TrispH2_003598-RA	receptor_accessory_protein_2	TB2_DP1_HVA22/
TrH2_TrispH2_003599-RA	tRNA_histidine_guanylyltransferase_1_like	Thg1/Thg1C/
TrH2_TrispH2_003600-RA	SIL1_nucleotide_exchange_factor	Fes1/
TrH2_TrispH2_003601-RA	histamine_receptor_H2	7tm_1/
TrH2_TrispH2_003602-RA	CORO7_PAM16_readthrough	WD40/
TrH2_TrispH2_003603-RA	solute_carrier_family_25_member_37	Mito_carr/Mito_carr/Mito_carr/
TrH2_TrispH2_003604-RA	HECT_domain_E3_ubiquitin_protein_ligase_2	HECT/
TrH2_TrispH2_003605-RA	5_nucleotidase_cytosolic_II	5_nucleotid/
TrH2_TrispH2_003606-RA		7tm_1/
TrH2_TrispH2_003607-RA	dopamine_receptor_D1	7tm_1/
TrH2_TrispH2_003608-RA	golgin_A7	Erf4/
TrH2_TrispH2_003609-RA	fumarylacetoacetate_hydrolase_domain_containing_1	FAA_hydrolase/
TrH2_TrispH2_003610-RA	testis_expressed_36	HDNR/
TrH2_TrispH2_003611-RA	neurofascin	I-set/I-set/I-set/
TrH2_TrispH2_003612-RA	fumarylacetoacetate_hydrolase_domain_containing_1	FAA_hydrolase/
TrH2_TrispH2_003613-RA	succinate_CoA_ligase_GDP_ADP_forming_subunit_alpha	CoA_binding/Ligase_CoA/
TrH2_TrispH2_003614-RA	SLU7_homolog_splicing_factor	Slu7/
TrH2_TrispH2_003615-RA		BORCS7/
TrH2_TrispH2_003616-RA	WD_repeat_domain_11	
TrH2_TrispH2_003617-RA	pyridoxal_phosphate_binding_protein	Ala_racemase_N/
TrH2_TrispH2_003618-RA		
TrH2_TrispH2_003619-RA		Lung_7-TM_R/
TrH2_TrispH2_003620-RA	myosin_light_chain_9	EF-hand_6/EF-hand_8/
TrH2_TrispH2_003621-RA	pantothenate_kinase_2	Fumble/
TrH2_TrispH2_003622-RA	beta_1_4_N_acetyl_galactosaminyltransferase_3	PA14/CHGN/
TrH2_TrispH2_003623-RA		
TrH2_TrispH2_003624-RA	beta_1_4_N_acetyl_galactosaminyltransferase_3	PA14/CHGN/
TrH2_TrispH2_003625-RA		
TrH2_TrispH2_003626-RA	beta_1_4_N_acetyl_galactosaminyltransferase_4	CHGN/
TrH2_TrispH2_003627-RA	beta_1_4_N_acetyl_galactosaminyltransferase_3	CHGN/
TrH2_TrispH2_003628-RA	beta_1_4_N_acetyl_galactosaminyltransferase_4	Glyco_transf_7C/
TrH2_TrispH2_003629-RA	beta_1_4_N_acetyl_galactosaminyltransferase_4	CHGN/
TrH2_TrispH2_003630-RA	beta_1_4_N_acetyl_galactosaminyltransferase_3	PA14/CHGN/
TrH2_TrispH2_003631-RA	beta_1_4_N_acetyl_galactosaminyltransferase_4	CHGN/
TrH2_TrispH2_003632-RA	beta_1_4_N_acetyl_galactosaminyltransferase_3	CHGN/
TrH2_TrispH2_003633-RA	ectonucleotide_pyrophosphatase_phosphodiesterase_3	Phosphodiest/Endonuclease_NS/
TrH2_TrispH2_003634-RA	ectonucleotide_pyrophosphatase_phosphodiesterase_3	Phosphodiest/Endonuclease_NS/
TrH2_TrispH2_003635-RA		TPR_8/TPR_12/TPR_12/TPR_12/TPR_8/TPR_12/TPR_8/TPR_12/TPR_8/TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/TPR_12/TPR_8/
TrH2_TrispH2_003636-RA	ectonucleotide_pyrophosphatase_phosphodiesterase_3	Phosphodiest/Endonuclease_NS/
TrH2_TrispH2_003637-RA	ectonucleotide_pyrophosphatase_phosphodiesterase_3	Phosphodiest/Endonuclease_NS/
TrH2_TrispH2_003638-RA	Tctex1_domain_containing_1	Tctex-1/
TrH2_TrispH2_003639-RA	HEAT_repeat_containing_1	U3snoRNP10/BP28CT/
TrH2_TrispH2_003640-RA	trafficking_protein_particle_complex_13	DUF974/
TrH2_TrispH2_003641-RA	cystathionine_gamma_lyase	Cys_Met_Meta_PP/
TrH2_TrispH2_003642-RA	caseinolytic_mitochondrial_matrix_peptidase_proteolytic_subunit	CLP_protease/
TrH2_TrispH2_003643-RA		
TrH2_TrispH2_003644-RA	carnitine_O_acetyltransferase	Carn_acyltransf/
TrH2_TrispH2_003645-RA		TauD/
TrH2_TrispH2_003646-RA		
TrH2_TrispH2_003647-RA	splicing_regulatory_glutamic_acid_and_lysine_rich_protein_1	RRM_1/RRM_1/
TrH2_TrispH2_003648-RA	ADP_ribosylation_factor_like_GTPase_16	Arf/
TrH2_TrispH2_003649-RA	small_glutamine_rich_tetratricopeptide_repeat_containing_beta	SGTA_dimer/TPR_11/TPR_2/
TrH2_TrispH2_003650-RA	STIL_centriolar_assembly_protein	STIL_N/
TrH2_TrispH2_003651-RA	calreticulin	Calreticulin/Calreticulin/
TrH2_TrispH2_003652-RA	chromosome_19_open_reading_frame_44	DUF4614/
TrH2_TrispH2_003653-RA	DAB_adaptor_protein_2	PID/
TrH2_TrispH2_003654-RA	tubulin_folding_cofactor_C	TBCC_N/TBCC/
TrH2_TrispH2_003655-RA		
TrH2_TrispH2_003656-RA	phosphoinositide_3_kinase_regulatory_subunit_1	C1_1/SAM_2/C1_1/RhoGAP/SH2/PI3K_P85_iSH2/SH2/
TrH2_TrispH2_003657-RA	NADH_ubiquinone_oxidoreductase_complex_assembly_factor_2	NDUFA12/
TrH2_TrispH2_003658-RA	hydroxysteroid_dehydrogenase_like_2	adh_short/
TrH2_TrispH2_003659-RA	polypyrimidine_tract_binding_protein_2	RRM_8/RRM_5/RRM_1/
TrH2_TrispH2_003660-RA	VPS35_endosomal_protein_sorting_factor_like	
TrH2_TrispH2_003661-RA	TLC_domain_containing_4	TRAM_LAG1_CLN8/
TrH2_TrispH2_003662-RA	WD_repeat_domain_49	
TrH2_TrispH2_003663-RA	nipsnap_homolog_3A	NIPSNAP/NIPSNAP/
TrH2_TrispH2_003664-RA	poly_A_binding_protein_interacting_protein_1	MIF4G/
TrH2_TrispH2_003665-RA	ankyrin_repeat_domain_13C	Ank_2/GPCR_chapero_1/
TrH2_TrispH2_003666-RA	valosin_containing_protein	CDC48_N/CDC48_2/AAA/AAA_lid_3/AAA/AAA_lid_3/Vps4_C/DUF2368/
TrH2_TrispH2_003667-RA	novel_protein	Cauli_VI/RNase_H/
TrH2_TrispH2_003668-RA	KN_motif_and_ankyrin_repeat_domains_4	Ank_2/
TrH2_TrispH2_003669-RA	1_4_alpha_glucan_branching_enzyme_1	Alpha-amylase/
TrH2_TrispH2_003670-RA		
TrH2_TrispH2_003671-RA		
TrH2_TrispH2_003672-RA		
TrH2_TrispH2_003673-RA	transmembrane_protein_259	Membralin/Membralin/
TrH2_TrispH2_003674-RA	mediator_complex_subunit_4	Med4/
TrH2_TrispH2_003675-RA	F_box_and_WD_repeat_domain_containing_9	F-box-like/WD40/WD40/
TrH2_TrispH2_003676-RA	HAUS_augmin_like_complex_subunit_3	HAUS-augmin3/
TrH2_TrispH2_003677-RA	SWI_SNF_related_matrix_associated_actin_dependent_regulator_of_chromatin_subfamily_a_member_4	QLQ/HSA/SNF2_N/Helicase_C/SnAC/Bromodomain/
TrH2_TrispH2_003678-RA	ATP_binding_cassette_subfamily_A_member_1	Kringle/ABC2_membrane_3/ABC_tran/ABC2_membrane_3/ABC_tran/
TrH2_TrispH2_003679-RA		
TrH2_TrispH2_003680-RA	NPC_intracellular_cholesterol_transporter_1	NPC1_N/NPC1_N/Patched/
TrH2_TrispH2_003681-RA	oxidation_resistance_1	LysM/TLD/
TrH2_TrispH2_003682-RA		
TrH2_TrispH2_003683-RA		
TrH2_TrispH2_003684-RA		
TrH2_TrispH2_003685-RA	E2F_transcription_factor_2	E2F_TDP/E2F_CC-MB/
TrH2_TrispH2_003686-RA		CX9C/
TrH2_TrispH2_003687-RA	minichromosome_maintenance_complex_component_3_associated_protein	SAC3_GANP/MCM3AP_GANP/
TrH2_TrispH2_003688-RA	sorting_nexin_19	PXA/PX/
TrH2_TrispH2_003689-RA	ankyrin_repeat_domain_46	Ank_5/
TrH2_TrispH2_003690-RA	centromere_protein_E	Kinesin/
TrH2_TrispH2_003691-RA	REC114_meiotic_recombination_protein	REC114-like/
TrH2_TrispH2_003692-RA	F_box_protein_9	F-box-like/
TrH2_TrispH2_003693-RA	KIAA0319_like	
TrH2_TrispH2_003694-RA	penta_EF_hand_domain_containing_1	EF-hand_7/EF-hand_6/
TrH2_TrispH2_003695-RA		
TrH2_TrispH2_003696-RA	gem_nuclear_organelle_associated_protein_7	Gemin7/
TrH2_TrispH2_003697-RA	chromatin_accessibility_complex_subunit_1	CBFD_NFYB_HMF/
TrH2_TrispH2_003698-RA	natriuretic_peptide_receptor_1	ANF_receptor/Pkinase_Tyr/HNOBA/Guanylate_cyc/
TrH2_TrispH2_003699-RA	ribosomal_protein_lateral_stalk_subunit_P0	Ribosomal_L10/RL10P_insert/Ribosomal_60s/
TrH2_TrispH2_003700-RA		
TrH2_TrispH2_003701-RA	myotubularin_related_protein_9	Myotub-related/
TrH2_TrispH2_003702-RA	SLC2A4_regulator	DUF4772/
TrH2_TrispH2_003703-RA	gamma_aminobutyric_acid_type_B_receptor_subunit_2	7tm_3/
TrH2_TrispH2_003704-RA		
TrH2_TrispH2_003705-RA		7tm_1/
TrH2_TrispH2_003706-RA	calcium_sensing_receptor	ANF_receptor/NCD3G/7tm_3/
TrH2_TrispH2_003707-RA	transcription_factor_B1_mitochondrial	RrnaAD/
TrH2_TrispH2_003708-RA	DEAD_box_helicase_10	DEAD/Helicase_C/DUF4217/
TrH2_TrispH2_003709-RA	TATA_box_binding_protein_associated_factor_RNA_polymerase_I_subunit_B	zf-RRN7/
TrH2_TrispH2_003710-RA	dynactin_subunit_1	CAP_GLY/
TrH2_TrispH2_003711-RA		
TrH2_TrispH2_003712-RA		Bmt2/
TrH2_TrispH2_003713-RA	ADP_ribosylation_factor_like_GTPase_13B	Arf/
TrH2_TrispH2_003714-RA	Scm_polycomb_group_protein_like_2	MBT/MBT/SLED/SAM_1/
TrH2_TrispH2_003715-RA		NDUF_B4/
TrH2_TrispH2_003716-RA	splicing_factor_proline_and_glutamine_rich	RRM_1/RRM_1/NOPS/
TrH2_TrispH2_003717-RA		
TrH2_TrispH2_003718-RA		
TrH2_TrispH2_003719-RA	ribosome_production_factor_2_homolog	Brix/
TrH2_TrispH2_003720-RA	chromatin_assembly_factor_1_subunit_B	WD40/WD40/WD40/
TrH2_TrispH2_003721-RA	phosphoribosylaminoimidazole_carboxylase_and_phosphoribosylaminoimidazolesuccinocarboxamide_synthase	SAICAR_synt/AIRC/
TrH2_TrispH2_003722-RA	phosphoribosyl_pyrophosphate_amidotransferase	GATase_6/Pribosyltran/
TrH2_TrispH2_003723-RA	BCS1_homolog_ubiquinol_cytochrome_c_reductase_complex_chaperone	BCS1_N/AAA/
TrH2_TrispH2_003724-RA	somatostatin_receptor_2	7tm_1/
TrH2_TrispH2_003725-RA		TPR_12/TPR_10/TPR_12/TPR_10/TPR_12/TPR_12/TPR_10/
TrH2_TrispH2_003726-RA		Acetyltransf_1/
TrH2_TrispH2_003727-RA	aralkylamine_N_acetyltransferase	Acetyltransf_1/
TrH2_TrispH2_003728-RA		Acetyltransf_1/
TrH2_TrispH2_003729-RA	aralkylamine_N_acetyltransferase	Acetyltransf_1/
TrH2_TrispH2_003730-RA		TPR_12/
TrH2_TrispH2_003731-RA	kynurenine_3_monooxygenase	FAD_binding_3/
TrH2_TrispH2_003732-RA	NIMA_related_kinase_4	Pkinase/
TrH2_TrispH2_003733-RA	dystroglycan_1	DAG1/
TrH2_TrispH2_003734-RA	ATP23_metallopeptidase_and_ATP_synthase_assembly_factor_homolog	Peptidase_M76/
TrH2_TrispH2_003735-RA	adhesion_G_protein_coupled_receptor_B3	IgGFc_binding/EGF/EGF/EGF/hEGF/hEGF/EGF/EGF/EGF_CA/EGF/EGF/hEGF/EGF/GAIN/7tm_2/CCDC66/
TrH2_TrispH2_003736-RA	atlastin_GTPase_1	GBP/
TrH2_TrispH2_003737-RA	ret_proto_oncogene	I-set/Ig_3/Pkinase_Tyr/
TrH2_TrispH2_003738-RA	caveolin_3	Caveolin/
TrH2_TrispH2_003739-RA	aminoacylase_1	Peptidase_M20/M20_dimer/
TrH2_TrispH2_003740-RA	histone_deacetylase_6	Hist_deacetyl/
TrH2_TrispH2_003741-RA	seryl_tRNA_synthetase_1	Seryl_tRNA_N/tRNA-synt_2b/ThiF/E2_bind/
TrH2_TrispH2_003742-RA		
TrH2_TrispH2_003743-RA		
TrH2_TrispH2_003744-RA	cyclic_nucleotide_binding_domain_containing_2	cNMP_binding/
TrH2_TrispH2_003745-RA	glycerate_kinase	DUF4147/MOFRL/
TrH2_TrispH2_003746-RA	kelch_like_family_member_28	BTB/BACK/Kelch_1/Kelch_1/
TrH2_TrispH2_003747-RA	TATA_box_binding_protein_associated_factor_3	Bromo_TP/PHD/
TrH2_TrispH2_003748-RA	SET_domain_and_mariner_transposase_fusion_gene	SET/
TrH2_TrispH2_003749-RA		
TrH2_TrispH2_003750-RA	telomerase_associated_protein_1	DUF4062/
TrH2_TrispH2_003751-RA	telomerase_associated_protein_1	DUF4062/
TrH2_TrispH2_003752-RA	telomerase_associated_protein_1	DUF4062/
TrH2_TrispH2_003753-RA	telomerase_associated_protein_1	DUF4062/
TrH2_TrispH2_003754-RA	telomerase_associated_protein_1	DUF4062/
TrH2_TrispH2_003755-RA	telomerase_associated_protein_1	DUF4062/
TrH2_TrispH2_003756-RA	calcium_voltage_gated_channel_auxiliary_subunit_alpha2delta_3	VWA_N/VWA/VGCC_alpha2/
TrH2_TrispH2_003757-RA	PIN2_TERF1_interacting_telomerase_inhibitor_1	G-patch/
TrH2_TrispH2_003758-RA	pancreas_associated_transcription_factor_1a	HLH/
TrH2_TrispH2_003759-RA	LEM_domain_containing_3	LEM/MSC/
TrH2_TrispH2_003760-RA		
TrH2_TrispH2_003761-RA	porcupine_O_acyltransferase	
TrH2_TrispH2_003762-RA	calcium_voltage_gated_channel_auxiliary_subunit_alpha2delta_4	VWA_N/VWA/VGCC_alpha2/
TrH2_TrispH2_003763-RA	HAUS_augmin_like_complex_subunit_7	Plant_NMP1/
TrH2_TrispH2_003764-RA	family_with_sequence_similarity_185_member_A	DUF4097/
TrH2_TrispH2_003765-RA	FERM_domain_containing_4B	FERM_N/FERM_M/FERM_C/CUPID/
TrH2_TrispH2_003766-RA	dedicator_of_cytokinesis_4	DOCK_N/DOCK-C2/DHR-2/DHR-2/
TrH2_TrispH2_003767-RA	round_spermatid_basic_protein_1_like	
TrH2_TrispH2_003768-RA	bromodomain_adjacent_to_zinc_finger_domain_1A	WAC_Acf1_DNA_bd/DDT/
TrH2_TrispH2_003769-RA	aggrecan	Lectin_C/
TrH2_TrispH2_003770-RA	ER_membrane_protein_complex_subunit_3	EMC3_TMCO1/
TrH2_TrispH2_003771-RA	calcium_sensing_receptor	ANF_receptor/NCD3G/7tm_3/
TrH2_TrispH2_003772-RA	cytochrome_P450_family_24_subfamily_A_member_1	p450/
TrH2_TrispH2_003773-RA	calcium_sensing_receptor	ANF_receptor/NCD3G/7tm_3/
TrH2_TrispH2_003774-RA	isoleucyl_tRNA_synthetase_1	tRNA-synt_1/Anticodon_1/
TrH2_TrispH2_003775-RA	ELKS_RAB6_interacting_CAST_family_member_2	Cast/
TrH2_TrispH2_003776-RA	EPH_receptor_A10	Ephrin_lbd/
TrH2_TrispH2_003777-RA	EPH_receptor_A4	Ephrin_lbd/
TrH2_TrispH2_003778-RA	protein_tyrosine_phosphatase_receptor_type_T	Ephrin_rec_like/fn3/
TrH2_TrispH2_003779-RA	deoxyribonuclease_1	Exo_endo_phos/
TrH2_TrispH2_003780-RA	deoxyribonuclease_1	Exo_endo_phos/
TrH2_TrispH2_003781-RA	TIMP_metallopeptidase_inhibitor_1	TIMP/
TrH2_TrispH2_003782-RA	neurocalcin_delta	ZZ/EF-hand_1/EF-hand_7/
TrH2_TrispH2_003783-RA		
TrH2_TrispH2_003784-RA	purine_nucleoside_phosphorylase	PNP_UDP_1/
TrH2_TrispH2_003785-RA	fat_storage_inducing_transmembrane_protein_2	Scs3p/
TrH2_TrispH2_003786-RA		
TrH2_TrispH2_003787-RA	programmed_cell_death_5	dsDNA_bind/
TrH2_TrispH2_003788-RA	CLPTM1_like	CLPTM1/
TrH2_TrispH2_003789-RA	centrosomal_protein_192	MYCBPAP/
TrH2_TrispH2_003790-RA		LLC1/
TrH2_TrispH2_003791-RA	cyclin_D1_binding_protein_1	GCIP/
TrH2_TrispH2_003792-RA		
TrH2_TrispH2_003793-RA	centrosomal_protein_89	
TrH2_TrispH2_003794-RA	wolframin_ER_transmembrane_glycoprotein	
TrH2_TrispH2_003795-RA	epithelial_splicing_regulatory_protein_1	
TrH2_TrispH2_003796-RA	transmembrane_protein_67	Meckelin/
TrH2_TrispH2_003797-RA	syntrophin_beta_1	PDZ/PH_17/PH/
TrH2_TrispH2_003798-RA	impact_RWD_domain_protein	RWD/UPF0029/
TrH2_TrispH2_003799-RA	DEAD_box_helicase_1	DEAD/SPRY/Helicase_C/
TrH2_TrispH2_003800-RA		
TrH2_TrispH2_003801-RA	exocyst_complex_component_2	TIG/Sec5/
TrH2_TrispH2_003802-RA	fucose_kinase	Fucokinase/
TrH2_TrispH2_003803-RA	negative_elongation_factor_complex_member_C_D	TH1/
TrH2_TrispH2_003804-RA	proteasome_assembly_chaperone_2	PAC2/
TrH2_TrispH2_003805-RA	chromosome_16_open_reading_frame_87	UPF0547/
TrH2_TrispH2_003806-RA	golgi_glycoprotein_1	Cys_rich_FGFR/Cys_rich_FGFR/Cys_rich_FGFR/Cys_rich_FGFR/Cys_rich_FGFR/Cys_rich_FGFR/Cys_rich_FGFR/Cys_rich_FGFR/Cys_rich_FGFR/Cys_rich_FGFR/Cys_rich_FGFR/Cys_rich_FGFR/
TrH2_TrispH2_003807-RA	carnitine_palmitoyltransferase_1A	CPT_N/Carn_acyltransf/
TrH2_TrispH2_003808-RA	carnitine_palmitoyltransferase_1A	CPT_N/Carn_acyltransf/
TrH2_TrispH2_003809-RA	CCR4_NOT_transcription_complex_subunit_1	CNOT1_HEAT/CNOT1_TTP_bind/CNOT1_CAF1_bind/DUF3819/Not1/
TrH2_TrispH2_003810-RA	cyclin_E1	Cyclin_N/Cyclin_C/
TrH2_TrispH2_003811-RA	small_nuclear_ribonucleoprotein_polypeptide_N	LSM/
TrH2_TrispH2_003812-RA		BtpA/
TrH2_TrispH2_003813-RA	tumor_protein_p53_inducible_nuclear_protein_1	DOR/
TrH2_TrispH2_003814-RA	charged_multivesicular_body_protein_4B	Snf7/
TrH2_TrispH2_003815-RA	formin_homology_2_domain_containing_3	Formin_GBD_N/FH2/
TrH2_TrispH2_003816-RA	ARV1_homolog_fatty_acid_homeostasis_modulator	Arv1/
TrH2_TrispH2_003817-RA	biogenesis_of_lysosomal_organelles_complex_1_subunit_4	
TrH2_TrispH2_003818-RA		Epimerase/
TrH2_TrispH2_003819-RA	mevalonate_diphosphate_decarboxylase	MDD_C/
