HoiH23_g2.t1		
HoiH23_hyp_clust10028.t1	novel_protein	SRCR/
HoiH23_PlH23_001907-RA	synaptoporin	MARVEL/
HoiH23_PlH23_001908-RA	early_endosome_antigen_1	FYVE/
HoiH23_PlH23_001909-RA	NCK_interacting_protein_with_SH3_domain	DUF2013/
HoiH23_PlH23_001910-RA	BICD_cargo_adaptor_2	BicD/BicD/
HoiH23_PlH23_001911-RA	RAB7A_member_RAS_oncogene_family	Ras/
HoiH23_PlH23_001912-RA	signal_transducer_and_activator_of_transcription_5B	STAT_int/STAT_alpha/STAT_bind/SH2/
HoiH23_PlH23_001913-RA	calcium_calmodulin_dependent_protein_kinase_I	Pkinase/
HoiH23_PlH23_001914-RA	cilia_and_flagella_associated_protein_100	DUF4200/
HoiH23_PlH23_001915-RA	peroxisomal_biogenesis_factor_26	Pex26/
HoiH23_PlH23_001916-RA		ESSS/
HoiH23_PlH23_001917-RA		Death/
HoiH23_PlH23_001918-RA	decapping_mRNA_1A	DCP1/mRNA_decap_C/
HoiH23_PlH23_001919-RA	RNA_2_3_cyclic_phosphate_and_5_OH_ligase	RtcB/
HoiH23_PlH23_001920-RA	ATP_GTP_binding_protein_like_5	Pepdidase_M14_N/Peptidase_M14/
HoiH23_PlH23_001921-RA	dual_specificity_tyrosine_phosphorylation_regulated_kinase_2	Pkinase/
HoiH23_PlH23_001922-RA	cyclin_dependent_kinase_20	Pkinase/
HoiH23_PlH23_001923-RA	casein_kinase_1_epsilon	Pkinase/
HoiH23_PlH23_001924-RA	pyroglutamylated_RFamide_peptide_receptor	7tm_1/
HoiH23_PlH23_001925-RA	B_TFIID_TATA_box_binding_protein_associated_factor_1	DUF3535/SNF2_N/Helicase_C/
HoiH23_PlH23_001926-RA		
HoiH23_PlH23_001927-RA	phosphodiesterase_10A	GAF/PDEase_I/
HoiH23_PlH23_001928-RA	solute_carrier_family_8_member_A3	Na_Ca_ex/Calx-beta/Calx-beta/Na_Ca_ex/
HoiH23_PlH23_001929-RA	mitochondrial_ribosomal_protein_S7	Ribosomal_S7/
HoiH23_PlH23_001930-RA		
HoiH23_PlH23_001931-RA	pyridoxal_dependent_decarboxylase_domain_containing_1	Pyridoxal_deC/
HoiH23_PlH23_001932-RA	coilin	Coilin_N/
HoiH23_PlH23_001933-RA		zf-C2H2/zf-C2H2/zf-C2H2/zf-H2C2_2/
HoiH23_PlH23_001934-RA		zf-C2H2/zf-C2H2/
HoiH23_PlH23_001935-RA		zf-C2H2/zf-C2H2/
HoiH23_PlH23_001936-RA		zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/
HoiH23_PlH23_001937-RA		zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/zf-C2H2/
HoiH23_PlH23_001938-RA	phosphate_cytidylyltransferase_2_ethanolamine	CTP_transf_like/CTP_transf_like/
HoiH23_PlH23_001939-RA	IQ_motif_containing_B1	IQ/IQ/
HoiH23_PlH23_001940-RA	ATPase_family_AAA_domain_containing_5	AAA/
HoiH23_PlH23_001941-RA	regulatory_associated_protein_of_MTOR_complex_1	Raptor_N/WD40/
HoiH23_PlH23_001942-RA		Folate_rec/
HoiH23_PlH23_001943-RA	ERCC_excision_repair_6_chromatin_remodeling_factor	SNF2_N/Helicase_C/
HoiH23_PlH23_001944-RA		AP_endonuc_2/
HoiH23_PlH23_001945-RA		DUF4693/
HoiH23_PlH23_001946-RA		
HoiH23_PlH23_001947-RA		Folate_rec/
HoiH23_PlH23_001948-RA	dynactin_subunit_5	Hexapep/
HoiH23_PlH23_001949-RA	phosphatidylinositol_glycan_anchor_biosynthesis_class_X	PIG-X/
HoiH23_PlH23_001950-RA		
HoiH23_PlH23_001951-RA	nth_like_DNA_glycosylase_1	HhH-GPD/HHH/
HoiH23_PlH23_001952-RA	PDGFA_associated_protein_1	PP28/
HoiH23_PlH23_001953-RA	cleavage_and_polyadenylation_specific_factor_4	zf-CCCH/zf-CCHC/zf-CCHC/
HoiH23_PlH23_001954-RA	ribosomal_protein_S9	Ribosomal_S4/S4/
HoiH23_PlH23_001955-RA	BUD31_homolog	G10/
HoiH23_PlH23_001956-RA	tripartite_motif_containing_23	
HoiH23_PlH23_001957-RA		PALB2_WD40/
HoiH23_PlH23_001958-RA		
HoiH23_PlH23_001959-RA	WD_repeat_domain_13	WD40/WD40/
HoiH23_PlH23_001960-RA	Josephin_domain_containing_1	Josephin/Josephin/
HoiH23_PlH23_001961-RA		Pkr1/
HoiH23_PlH23_001962-RA	WD_repeat_domain_90	DUF667/DUF667/WD40/WD40/WD40/WD40/
HoiH23_PlH23_001963-RA	ubiquitin_specific_peptidase_36	UCH/
HoiH23_PlH23_001964-RA	mediator_complex_subunit_11	
HoiH23_PlH23_001965-RA	sorting_nexin_8	PX/
HoiH23_PlH23_001966-RA	chromosome_22_open_reading_frame_23	UPF0193/
HoiH23_PlH23_001967-RA	microtubule_associated_monooxygenase_calponin_and_LIM_domain_containing_2	LIM/
HoiH23_PlH23_001968-RA	NADH_ubiquinone_oxidoreductase_subunit_AB1	PP-binding/
HoiH23_PlH23_001969-RA	family_with_sequence_similarity_227_member_B	FWWh/
HoiH23_PlH23_001970-RA	phosphatidylglycerophosphate_synthase_1	PLDc_2/
HoiH23_PlH23_001971-RA	dynein_axonemal_heavy_chain_17	DHC_N1/DHC_N2/AAA_6/Dynein_AAA_lid/AAA_7/AAA_lid_1/AAA_8/MT/AAA_9/Dynein_heavy/AAA_lid_11/Dynein_C/
HoiH23_PlH23_001972-RA	CBFA2_RUNX1_partner_transcriptional_co_repressor_2	TAFH/zf-MYND/
HoiH23_PlH23_001973-RA	armadillo_repeat_containing_7	
HoiH23_PlH23_001974-RA	small_G_protein_signaling_modulator_3	RabGAP-TBC/SH3_1/RUN/
HoiH23_PlH23_001975-RA	ubiquinol_cytochrome_c_reductase_core_protein_2	Peptidase_M16/Peptidase_M16_C/
HoiH23_PlH23_001976-RA	ankyrin_repeat_and_SOCS_box_containing_13	Ank_2/Ank_2/Ank_2/SOCS_box/
HoiH23_PlH23_001977-RA	DEAH_box_helicase_40	DEAD/Helicase_C/HA2/OB_NTP_bind/
HoiH23_PlH23_001978-RA	cytohesin_1	Sec7/PH/
HoiH23_PlH23_001979-RA	galactokinase_1	GalKase_gal_bdg/GHMP_kinases_N/GHMP_kinases_C/
HoiH23_PlH23_001980-RA	ribosomal_protein_S2	Ribosomal_S5/Ribosomal_S5_C/
HoiH23_PlH23_001981-RA	PMS1_homolog_2_mismatch_repair_system_component	HATPase_c_3/DNA_mis_repair/MutL_C/
HoiH23_PlH23_001982-RA		LRR_8/
HoiH23_PlH23_001983-RA	solute_carrier_family_8_member_B1	Na_Ca_ex/Na_Ca_ex/
HoiH23_PlH23_001984-RA	protein_phosphatase_1_catalytic_subunit_gamma	STPPase_N/Metallophos/
HoiH23_PlH23_001985-RA	RB_binding_protein_6_ubiquitin_ligase	DWNN/zf-CCHC_2/
HoiH23_PlH23_001986-RA	guided_entry_of_tail_anchored_proteins_factor_4	DUF410/
HoiH23_PlH23_001987-RA	ATP_binding_cassette_subfamily_A_member_5	ABC2_membrane_3/ABC_tran/ABC2_membrane_3/ABC_tran/
HoiH23_PlH23_001988-RA	phosphatidylinositol_glycan_anchor_biosynthesis_class_Q	Gpi1/
HoiH23_PlH23_001989-RA	diphthamide_biosynthesis_7	
HoiH23_PlH23_001990-RA		DAP_epimerase/DAP_epimerase/
HoiH23_PlH23_001991-RA		
HoiH23_PlH23_001992-RA	adhesion_G_protein_coupled_receptor_L2	CUB/GAIN/GPS/7tm_2/
HoiH23_PlH23_001993-RA		
HoiH23_PlH23_001994-RA	adhesion_G_protein_coupled_receptor_L3	7tm_2/
HoiH23_PlH23_001995-RA	adhesion_G_protein_coupled_receptor_L1	GAIN/GPS/
HoiH23_PlH23_001996-RA	adhesion_G_protein_coupled_receptor_L3	CUB/GAIN/GPS/7tm_2/CUB/GAIN/GPS/7tm_2/
HoiH23_PlH23_001997-RA		
HoiH23_PlH23_001998-RA	apoptosis_enhancing_nuclease	RNase_T/
HoiH23_PlH23_001999-RA	hematopoietic_prostaglandin_D_synthase	GST_N/GST_C_3/
HoiH23_PlH23_002000-RA	cytidine_uridine_monophosphate_kinase_1	GST_N/GST_C_3/ADK/
HoiH23_PlH23_002001-RA	PIH1_domain_containing_2	PIH1/PIH1_CS/
HoiH23_PlH23_002002-RA	transmembrane_protein_232	TMEM232/TMEM232/
HoiH23_PlH23_002003-RA		
HoiH23_PlH23_002004-RA	proteasome_20S_subunit_beta_4	Proteasome/
HoiH23_PlH23_002005-RA		
HoiH23_PlH23_002006-RA	vacuolar_protein_sorting_72_homolog	YL1/YL1_C/
HoiH23_PlH23_002007-RA	endothelin_converting_enzyme_1	Peptidase_M13_N/Peptidase_M13/
HoiH23_PlH23_002008-RA	EEF1AKMT4_ECE2_readthrough	Peptidase_M13_N/Peptidase_M13/
HoiH23_PlH23_002009-RA	MGAT4_family_member_C	Glyco_transf_54/
HoiH23_PlH23_002010-RA	aconitase_1	Aconitase/Aconitase_C/
HoiH23_PlH23_002011-RA	serpin_family_B_member_1	Serpin/
HoiH23_PlH23_002012-RA	FA_complementation_group_D2	FancD2/FancD2/
HoiH23_PlH23_002013-RA	BMS1_ribosome_biogenesis_factor	MMR_HSR1/AARP2CN/RIBIOP_C/
HoiH23_PlH23_002014-RA		TPR_12/TPR_10/
HoiH23_PlH23_002015-RA	ankyrin_1	COR/Death/
HoiH23_PlH23_002016-RA		TPR_12/TPR_12/TPR_12/TPR_12/
HoiH23_PlH23_002017-RA	histamine_receptor_H2	7tm_1/
HoiH23_PlH23_002018-RA	GRAM_domain_containing_1B	GRAM/VASt/
HoiH23_PlH23_002019-RA	roundabout_guidance_receptor_1	Ig_3/Ig_3/Ig_3/I-set/fn3/fn3/fn3/
HoiH23_PlH23_002020-RA	phosphodiesterase_9A	PDEase_I/
HoiH23_PlH23_002021-RA	proteasome_26S_subunit_ATPase_4	Prot_ATP_ID_OB/AAA/AAA_lid_3/
HoiH23_PlH23_002022-RA	endonuclease_G	Endonuclease_NS/
HoiH23_PlH23_002023-RA	N_alpha_acetyltransferase_50_NatE_catalytic_subunit	Acetyltransf_1/
HoiH23_PlH23_002024-RA	VPS26_endosomal_protein_sorting_factor_C	Vps26/
HoiH23_PlH23_002025-RA	protein_phosphatase_2_scaffold_subunit_Aalpha	HEAT/HEAT/HEAT_2/
HoiH23_PlH23_002026-RA		
HoiH23_PlH23_002027-RA	histamine_receptor_H2	7tm_1/
HoiH23_PlH23_002028-RA	TM2_domain_containing_3	TM2/
HoiH23_PlH23_002029-RA	ATPase_H_transporting_V1_subunit_A	ATP-synt_ab_N/ATP-synt_ab_Xtn/ATP-synt_ab/
HoiH23_PlH23_002030-RA	hematopoietic_prostaglandin_D_synthase	GST_N/GST_C_3/
HoiH23_PlH23_002031-RA	hematopoietic_prostaglandin_D_synthase	GST_N/GST_C_3/
HoiH23_PlH23_002032-RA	growth_hormone_inducible_transmembrane_protein	Bax1-I/
HoiH23_PlH23_002034-RA	WD_repeat_containing_planar_cell_polarity_effector	Frtz/
HoiH23_PlH23_002035-RA	transducin_beta_like_3	WD40/WD40/WD40/WD40/WD40/WD40/WD40/WD40/WD40/WD40/Utp13/
HoiH23_PlH23_002036-RA	methionyl_aminopeptidase_1	zf-C6H2/Peptidase_M24/
HoiH23_PlH23_002037-RA	dual_adaptor_of_phosphotyrosine_and_3_phosphoinositides_1	SH2/PH/
HoiH23_PlH23_002038-RA	F_box_and_leucine_rich_repeat_protein_15	
HoiH23_PlH23_002039-RA	renalase_FAD_dependent_amine_oxidase	NAD_binding_8/Amino_oxidase/
HoiH23_PlH23_002040-RA	sorbin_and_SH3_domain_containing_1	PDZ/SH3_9/SH3_1/SH3_9/
HoiH23_PlH23_002041-RA	5_hydroxytryptamine_receptor_4	7tm_1/
HoiH23_PlH23_002042-RA	5_hydroxytryptamine_receptor_4	7tm_1/
HoiH23_PlH23_002043-RA	adrenoceptor_beta_2	7tm_1/
HoiH23_PlH23_002044-RA	trace_amine_associated_receptor_8	7tm_1/
HoiH23_PlH23_002045-RA	5_hydroxytryptamine_receptor_4	7tm_1/
HoiH23_PlH23_002046-RA	5_hydroxytryptamine_receptor_4	7tm_1/
HoiH23_PlH23_002047-RA	trace_amine_associated_receptor_6	7tm_1/
HoiH23_PlH23_002048-RA	alcohol_dehydrogenase_5_class_III_chi_polypeptide	ADH_N/ADH_zinc_N/
HoiH23_PlH23_002049-RA	solute_carrier_family_25_member_16	Mito_carr/Mito_carr/Mito_carr/
HoiH23_PlH23_002050-RA	coiled_coil_domain_containing_6	DUF2046/
HoiH23_PlH23_002051-RA		
HoiH23_PlH23_002052-RA	zinc_finger_GRF_type_containing_1	DUF2439/AAA_11/AAA_11/AAA_12/
HoiH23_PlH23_002053-RA		
HoiH23_PlH23_002054-RA	golgi_brefeldin_A_resistant_guanine_nucleotide_exchange_factor_1	Sec7_N/Sec7/
HoiH23_PlH23_002055-RA		
HoiH23_PlH23_002056-RA	zinc_finger_DHHC_type_palmitoyltransferase_6	DHHC/
HoiH23_PlH23_002057-RA		DUF3883/
HoiH23_PlH23_002058-RA		DUF3883/
HoiH23_PlH23_002059-RA		
HoiH23_PlH23_002060-RA		
HoiH23_PlH23_002061-RA	telomerase_associated_protein_1	DUF4062/AAA_16/
HoiH23_PlH23_002062-RA	neuropeptide_FF_receptor_2	7tm_1/
HoiH23_PlH23_002063-RA		zf-CCHC/zf-CCHC/
HoiH23_PlH23_002064-RA	sacsin_molecular_chaperone	DUF3883/
HoiH23_PlH23_002065-RA	glucoside_xylosyltransferase_1	Glyco_transf_8/
HoiH23_PlH23_002066-RA	glucoside_xylosyltransferase_2	Glyco_transf_8/
HoiH23_PlH23_002067-RA	phosphorylated_adaptor_for_RNA_export	RNA_GG_bind/
HoiH23_PlH23_002068-RA		mTERF/mTERF/
HoiH23_PlH23_002069-RA	NSFL1_cofactor	UBA_4/SEP/UBX/
HoiH23_PlH23_002070-RA	CRK_like_proto_oncogene_adaptor_protein	SH2/SH3_1/SH3_2/
HoiH23_PlH23_002071-RA	somatostatin_receptor_1	7tm_1/
HoiH23_PlH23_002072-RA	trace_amine_associated_receptor_8	7tm_1/
HoiH23_PlH23_002073-RA	C_C_motif_chemokine_receptor_1	7tm_1/
HoiH23_PlH23_002074-RA	adrenoceptor_alpha_2C	7tm_1/
HoiH23_PlH23_002075-RA	exosome_component_4	RNase_PH/RNase_PH_C/
HoiH23_PlH23_002076-RA		Frizzled/
HoiH23_PlH23_002077-RA	prostaglandin_D2_receptor	7tm_1/
HoiH23_PlH23_002078-RA	splicing_factor_3a_subunit_2	SF3A2/
HoiH23_PlH23_002079-RA	PAX_interacting_protein_1	BRCT/PTCB-BRCT/RTT107_BRCT_5/
HoiH23_PlH23_002080-RA	tRNA_aspartic_acid_methyltransferase_1	DNA_methylase/
HoiH23_PlH23_002081-RA	ring_finger_and_WD_repeat_domain_3	zf-RING_2/
HoiH23_PlH23_002082-RA	solute_carrier_family_37_member_4	MFS_1/
HoiH23_PlH23_002083-RA	GID_complex_subunit_8_homolog	LisH/CLTH/
HoiH23_PlH23_002084-RA	proteasome_26S_subunit_non_ATPase_2	RPN1_RPN2_N/PC_rep/PC_rep/RPN1_C/
HoiH23_PlH23_002085-RA	ret_proto_oncogene	Sushi/EGF_CA/EGF_CA/EGF_CA/EGF_CA/Sushi/EGF_CA/EGF_CA/EGF_3/EGF_CA/EGF_CA/Sushi/EGF_CA/EGF_CA/EGF_CA/EGF_CA/EGF_CA/EGF_CA/EGF_CA/Pkinase_Tyr/
HoiH23_PlH23_002086-RA	dihydropyrimidinase	Amidohydro_1/
HoiH23_PlH23_002087-RA	Rho_GTPase_activating_protein_39	RhoGAP/
HoiH23_PlH23_002088-RA	Rho_GTPase_activating_protein_39	MyTH4/RhoGAP/
HoiH23_PlH23_002089-RA	ribosomal_protein_L15	Ribosomal_L15e/
HoiH23_PlH23_002090-RA	zinc_finger_protein_622	zf-C2H2_jaz/zf-C2H2_2/
HoiH23_PlH23_002091-RA		Tropomyosin/
HoiH23_PlH23_002092-RA	N_terminal_Xaa_Pro_Lys_N_methyltransferase_1	Methyltransf_PK/
HoiH23_PlH23_002093-RA	methyltransferase_like_1	Methyltransf_4/
HoiH23_PlH23_002094-RA	NCK_associated_protein_1	Nckap1/
HoiH23_PlH23_002095-RA	PHD_finger_protein_13	PHD_2/
HoiH23_PlH23_002096-RA	splicing_factor_3a_subunit_1	Surp/Surp/PRP21_like_P/ubiquitin/
HoiH23_PlH23_002097-RA	nucleoporin_35	Nup35_RRM/
HoiH23_PlH23_002098-RA	calcineurin_binding_protein_1	
HoiH23_PlH23_002099-RA	CCR4_NOT_transcription_complex_subunit_4	RRM_1/
HoiH23_PlH23_002100-RA	kinesin_family_member_17	Kinesin/
HoiH23_PlH23_002101-RA	actin_beta	Actin/
HoiH23_PlH23_002102-RA	RAS_and_EF_hand_domain_containing	Ras/
HoiH23_PlH23_002103-RA	RAS_and_EF_hand_domain_containing	Ras/
HoiH23_PlH23_002104-RA	kelch_like_family_member_12	CARD/Kelch_1/Kelch_1/Kelch_1/Kelch_1/Kelch_1/
HoiH23_PlH23_002105-RA		DNA_alkylation/
HoiH23_PlH23_002106-RA		DNA_alkylation/
HoiH23_PlH23_002107-RA		Lipase_2/
HoiH23_PlH23_002108-RA	transmembrane_and_coiled_coil_domains_4	DUF726/
HoiH23_PlH23_002109-RA	eukaryotic_translation_initiation_factor_2_alpha_kinase_4	RWD/Pkinase/Pkinase/Pkinase/tRNA-synt_His/
HoiH23_PlH23_002110-RA	microtubule_associated_monooxygenase_calponin_and_LIM_domain_containing_3	FAD_binding_3/CH/DUF3585/
HoiH23_PlH23_002111-RA	small_nuclear_ribonucleoprotein_U1_subunit_70	U1snRNP70_N/RRM_1/
HoiH23_PlH23_002112-RA	integrin_alpha_FG_GAP_repeat_containing_2	Itfg2/
HoiH23_PlH23_002113-RA		
HoiH23_PlH23_002114-RA	autophagy_related_13	
HoiH23_PlH23_002115-RA	cytoskeleton_associated_protein_5	CLASP_N/CLASP_N/
HoiH23_PlH23_002116-RA	zinc_binding_alcohol_dehydrogenase_domain_containing_2	ADH_N/ADH_zinc_N/
HoiH23_PlH23_002117-RA	zinc_binding_alcohol_dehydrogenase_domain_containing_2	ADH_N/ADH_zinc_N/
HoiH23_PlH23_002118-RA	ribosomal_protein_S16	Ribosomal_S9/
HoiH23_PlH23_002119-RA		
HoiH23_PlH23_002120-RA	adaptor_related_protein_complex_2_subunit_alpha_1	Adaptin_N/Alpha_adaptinC2/Alpha_adaptin_C/
HoiH23_PlH23_002121-RA	membrane_associated_ring_CH_type_finger_6	RINGv/
HoiH23_PlH23_002122-RA		DUF4207/
HoiH23_PlH23_002123-RA	autophagy_and_beclin_1_regulator_1	WD40/WD40/
HoiH23_PlH23_002124-RA	ataxin_3	Josephin/
HoiH23_PlH23_002125-RA		AA_kinase/
HoiH23_PlH23_002126-RA		PhoD/
HoiH23_PlH23_002127-RA	transportin_3	IBN_N/Xpo1/
HoiH23_PlH23_002128-RA	GSK3B_interacting_protein	DUF727/
HoiH23_PlH23_002129-RA	EF_hand_calcium_binding_domain_6	EF-hand_8/
HoiH23_PlH23_002130-RA	dual_specificity_phosphatase_10	DSPc/
HoiH23_PlH23_002131-RA	UFM1_specific_peptidase_2	Peptidase_C78/
HoiH23_PlH23_002132-RA	PIH1_domain_containing_1	PIH1/PIH1_CS/
HoiH23_PlH23_002133-RA	proline_rich_5_like	HbrB/
HoiH23_PlH23_002134-RA	protein_phosphatase_6_regulatory_subunit_2	SAPS/SAPS/
HoiH23_PlH23_002135-RA	hydroxyacyl_CoA_dehydrogenase_trifunctional_multienzyme_complex_subunit_beta	Thiolase_N/Thiolase_C/
HoiH23_PlH23_002136-RA	iron_sulfur_cluster_assembly_factor_IBA57	GCV_T/
HoiH23_PlH23_002137-RA	failed_axon_connections_homolog_metaxin_like_GST_domain_containing	GST_N_4/GST_C_6/
HoiH23_PlH23_002138-RA	YJU2_splicing_factor_homolog	DUF572/
HoiH23_PlH23_002139-RA	serine_threonine_kinase_receptor_associated_protein	WD40/WD40/WD40/
HoiH23_PlH23_002141-RA	small_nuclear_ribonucleoprotein_polypeptide_E	LSM/
HoiH23_PlH23_002142-RA	mitochondrial_carrier_2	Mito_carr/Mito_carr/
HoiH23_PlH23_002143-RA	cyclin_B1	Cyclin_N/Cyclin_C/
HoiH23_PlH23_002144-RA	cAMP_responsive_element_binding_protein_3_like_1	bZIP_1/
HoiH23_PlH23_002145-RA	cyclin_D2	Cyclin_N/Cyclin_C/
HoiH23_PlH23_002146-RA	cortactin	HS1_rep/HS1_rep/HS1_rep/HS1_rep/HS1_rep/HS1_rep/SH3_1/
HoiH23_PlH23_002147-RA	cyclin_D2	Cyclin_N/Cyclin_C/SH3_1/
HoiH23_PlH23_002148-RA	MDM2_proto_oncogene	SWIB/zf-C3HC4_3/
HoiH23_PlH23_002149-RA	calcyphosine_2	
HoiH23_PlH23_002150-RA	ubiquitin_specific_peptidase_47	UCH/
HoiH23_PlH23_002151-RA	hydroxylysine_kinase	APH/
HoiH23_PlH23_002152-RA	fem_1_homolog_C	Ank_4/Ank_2/
HoiH23_PlH23_002153-RA	cytosolic_iron_sulfur_assembly_component_2A	FeS_assembly_P/
HoiH23_PlH23_002154-RA	melatonin_receptor_1A	7tm_1/
HoiH23_PlH23_002155-RA		
HoiH23_PlH23_002156-RA	death_associated_protein_3	DAP3/
HoiH23_PlH23_002157-RA	insulin_like_growth_factor_1_receptor	Recep_L_domain/Furin-like/Recep_L_domain/fn3/Pkinase_Tyr/
HoiH23_PlH23_002158-RA	insulin_like_growth_factor_1_receptor	Recep_L_domain/Furin-like/Recep_L_domain/Pkinase_Tyr/
HoiH23_PlH23_002159-RA	solute_carrier_family_12_member_2	AA_permease/SLC12/SLC12/
HoiH23_PlH23_002160-RA		AA_permease_N/
HoiH23_PlH23_002161-RA	solute_carrier_family_12_member_1	AA_permease_N/AA_permease/SLC12/
HoiH23_PlH23_002162-RA	cytochrome_c_oxidase_subunit_5A	COX5A/
HoiH23_PlH23_002163-RA		
HoiH23_PlH23_002164-RA	jumping_translocation_breakpoint	JTB/
HoiH23_PlH23_002165-RA	beta_1_3_galactosyltransferase_5	Galactosyl_T/
HoiH23_PlH23_002166-RA	mitochondrial_ribosomal_protein_L21	Ribosomal_L21p/
HoiH23_PlH23_002167-RA	heat_shock_transcription_factor_2	HSF_DNA-bind/
HoiH23_PlH23_002168-RA	WD_repeat_domain_77	WD40/WD40/
HoiH23_PlH23_002169-RA	cytochrome_P450_family_4_subfamily_F_member_3	p450/
HoiH23_PlH23_002170-RA	transmembrane_protein_216	Transmemb_17/
HoiH23_PlH23_002171-RA	ATPase_H_transporting_V1_subunit_E1	vATP-synt_E/
HoiH23_PlH23_002172-RA	AT_rich_interaction_domain_2	ARID/RFX_DNA_binding/
HoiH23_PlH23_002173-RA	centrin_3	EF-hand_7/EF-hand_7/
HoiH23_PlH23_002174-RA	UTP20_small_subunit_processome_component	DRIM/
HoiH23_PlH23_002175-RA	nucleoporin_205	Nup192/
HoiH23_PlH23_002176-RA	E2F_transcription_factor_8	E2F_TDP/E2F_TDP/
HoiH23_PlH23_002177-RA	MON1_homolog_A_secretory_trafficking_associated	Fuz_longin_1/Fuz_longin_2/Fuz_longin_3/
HoiH23_PlH23_002178-RA	WASP_family_member_1	
HoiH23_PlH23_002179-RA	solute_carrier_family_25_member_22	Mito_carr/Mito_carr/Mito_carr/
HoiH23_PlH23_002180-RA	nitric_oxide_synthase_interacting_protein	zf-NOSIP/Rtf2/
HoiH23_PlH23_002181-RA	ADP_ribosylation_factor_like_GTPase_14_effector_protein	ARF7EP_C/
HoiH23_PlH23_002182-RA		
HoiH23_PlH23_002183-RA		
HoiH23_PlH23_002184-RA	phosphodiesterase_8B	PAS_9/PDEase_I/
HoiH23_PlH23_002185-RA	coiled_coil_alpha_helical_rod_protein_1	HCR/
HoiH23_PlH23_002186-RA	BCAS2_pre_mRNA_processing_factor	BCAS2/
HoiH23_PlH23_002187-RA	cyclin_B2	Cyclin_N/Cyclin_C/
HoiH23_PlH23_002188-RA		
HoiH23_PlH23_002189-RA		
HoiH23_PlH23_002190-RA	RAB3_GTPase_activating_protein_catalytic_subunit_1	Rab3-GTPase_cat/Rab3-GTPase_cat/
HoiH23_PlH23_002191-RA	membrane_palmitoylated_protein_6	L27/PDZ/SH3_1/Guanylate_kin/
HoiH23_PlH23_002192-RA	WW_domain_containing_adaptor_with_coiled_coil	WW/
HoiH23_PlH23_002193-RA	tubulin_polyglutamylase_complex_subunit_1	
HoiH23_PlH23_002194-RA	MPN_domain_containing	RAMA/JAB/
HoiH23_PlH23_002195-RA	pleckstrin_homology_domain_containing_A8	PH/GLTP/
HoiH23_PlH23_002196-RA		
HoiH23_PlH23_002197-RA	nucleic_acid_binding_protein_2	
HoiH23_PlH23_002198-RA	cyclin_Pas1_PHO80_domain_containing_1	Cyclin_N/
HoiH23_PlH23_002199-RA	angio_associated_migratory_cell_protein	WD40/WD40/WD40/WD40/
HoiH23_PlH23_002200-RA	aminopeptidase_puromycin_sensitive	Peptidase_M1_N/Peptidase_M1/ERAP1_C/
HoiH23_PlH23_002201-RA	ribonuclease_K	
HoiH23_PlH23_002202-RA	myosin_light_chain_kinase	I-set/I-set/I-set/fn3/Pkinase/I-set/Pkinase/I-set/fn3/
HoiH23_PlH23_002203-RA	disco_interacting_protein_2_homolog_C	DMAP_binding/AMP-binding/AMP-binding/
HoiH23_PlH23_002204-RA	EPH_receptor_A6	Pkinase_Tyr/
HoiH23_PlH23_002205-RA	mitochondrial_assembly_of_ribosomal_large_subunit_1	RsfS/
HoiH23_PlH23_002206-RA	kalirin_RhoGEF_kinase	Spectrin/Spectrin/RhoGEF/RhoGEF/I-set/Pkinase/
HoiH23_PlH23_002207-RA	mitogen_activated_protein_kinase_kinase_kinase_13	Pkinase_Tyr/
HoiH23_PlH23_002208-RA	retinol_dehydrogenase_14	adh_short/
HoiH23_PlH23_002209-RA	ubiquitin_conjugating_enzyme_E2_G2	UQ_con/
HoiH23_PlH23_002210-RA	phosphatidylinositol_glycan_anchor_biosynthesis_class_A	PIGA/Glycos_transf_1/
HoiH23_PlH23_002211-RA	TATA_box_binding_protein	TBP/TBP/
HoiH23_PlH23_002212-RA	transmembrane_protein_41A	SNARE_assoc/
HoiH23_PlH23_002213-RA	beclin_1	APG6_N/APG6/
HoiH23_PlH23_002214-RA		
HoiH23_PlH23_002215-RA		
HoiH23_PlH23_002216-RA	family_with_sequence_similarity_207_member_A	SLX9/
HoiH23_PlH23_002217-RA	oxysterol_binding_protein_like_6	PH_8/Oxysterol_BP/
HoiH23_PlH23_002218-RA	N_glycanase_1	PUB/Transglut_core/PAW/
HoiH23_PlH23_002219-RA	cytochrome_P450_family_3_subfamily_A_member_5	p450/
HoiH23_PlH23_002220-RA	cytochrome_P450_family_3_subfamily_A_member_5	p450/
HoiH23_PlH23_002221-RA	trio_Rho_guanine_nucleotide_exchange_factor	Spectrin/Spectrin/
HoiH23_PlH23_002222-RA	kalirin_RhoGEF_kinase	
HoiH23_PlH23_002223-RA	NME_NM23_family_member_8	Thioredoxin/NDK/NDK/NDK/
HoiH23_PlH23_002224-RA	guanylate_kinase_1	Guanylate_kin/
HoiH23_PlH23_002225-RA	Ts_translation_elongation_factor_mitochondrial	EF_TS/
HoiH23_PlH23_002226-RA	coiled_coil_domain_containing_124	Ccdc124/
HoiH23_PlH23_002227-RA	SPG11_vesicle_trafficking_associated_spatacsin	Spatacsin_C/
