Hhon_g00001.t1	zinc_finger_BED_type_containing_6
Hhon_g02002.t1	fucosyltransferase_6
Hhon_g02003.t1	acyl_CoA_synthetase_family_member_2
Hhon_g02004.t1	acyl_CoA_synthetase_family_member_2
Hhon_g02005.t1	cathepsin_D
Hhon_g02006.t1	cathepsin_D
Hhon_g02007.t1	cathepsin_E
Hhon_g02008.t1	cell_division_cycle_42
Hhon_g02009.t1	Rac_family_small_GTPase_1
Hhon_g02010.t1	succinate_dehydrogenase_complex_assembly_factor_2
Hhon_g02011.t1	transmembrane_protein_41B
Hhon_g02012.t1	N_acetylglucosamine_1_phosphate_transferase_subunits_alpha_and_beta
Hhon_g02013.t1	integrator_complex_subunit_5
Hhon_g02014.t1	
Hhon_g02015.t1	N_alpha_acetyltransferase_25_NatB_auxiliary_subunit
Hhon_g02016.t1	
Hhon_g02017.t1	peptidyl_tRNA_hydrolase_2
Hhon_g02018.t1	anaphase_promoting_complex_subunit_7
Hhon_g02019.t1	
Hhon_g02020.t1	coiled_coil_domain_containing_157
Hhon_g02021.t1	CGRP_receptor_component
Hhon_g02022.t1	histamine_receptor_H2
Hhon_g02023.t1	
Hhon_g02024.t1	
Hhon_g02025.t1	
Hhon_g02026.t1	cryptochrome_circadian_regulator_2
Hhon_g02027.t1	cryptochrome_circadian_regulator_2
Hhon_g02028.t1	cryptochrome_circadian_regulator_2
Hhon_g02029.t1	
Hhon_g02030.t1	
Hhon_g02031.t1	
Hhon_g02032.t1	
Hhon_g02033.t1	
Hhon_g02034.t1	D_aspartate_oxidase
Hhon_g02035.t1	GPN_loop_GTPase_3
Hhon_g02036.t1	D_aspartate_oxidase
Hhon_g02037.t1	vitamin_K_epoxide_reductase_complex_subunit_1
Hhon_g02038.t1	phosphoserine_phosphatase
Hhon_g02039.t1	netrin_1
Hhon_g02040.t1	
Hhon_g02041.t1	neuropeptide_Y_receptor_Y1
Hhon_g02042.t1	phospholipase_B_domain_containing_2
Hhon_g02043.t1	mitogen_activated_protein_kinase_7
Hhon_g02044.t1	
Hhon_g02045.t1	
Hhon_g02046.t1	
Hhon_g02047.t1	general_transcription_factor_IIH_subunit_3
Hhon_g02048.t1	eukaryotic_translation_initiation_factor_2B_subunit_alpha
Hhon_g02049.t1	
Hhon_g02050.t1	HGH1_homolog
Hhon_g02051.t1	ubiquitin_conjugating_enzyme_E2_G1
Hhon_g02052.t1	
Hhon_g02053.t1	ring_finger_protein_40
Hhon_g02054.t1	ataxin_2
Hhon_g02055.t1	failed_axon_connections_homolog_metaxin_like_GST_domain_containing
Hhon_g02056.t1	failed_axon_connections_homolog_metaxin_like_GST_domain_containing
Hhon_g02057.t1	failed_axon_connections_homolog_metaxin_like_GST_domain_containing
Hhon_g02058.t1	
Hhon_g02059.t1	interleukin_1_receptor_associated_kinase_4
Hhon_g02060.t1	interleukin_1_receptor_associated_kinase_1
Hhon_g02061.t1	interleukin_1_receptor_associated_kinase_4
Hhon_g02062.t1	interleukin_1_receptor_associated_kinase_4
Hhon_g02063.t1	interleukin_1_receptor_associated_kinase_4
Hhon_g02064.t1	interleukin_1_receptor_associated_kinase_4
Hhon_g02065.t1	interleukin_1_receptor_associated_kinase_4
Hhon_g02066.t1	
Hhon_g02067.t1	thyroid_stimulating_hormone_receptor
Hhon_g02068.t1	hexosaminidase_D
Hhon_g02069.t1	hexosaminidase_D
Hhon_g02070.t1	ADAM_metallopeptidase_domain_10
Hhon_g02071.t1	formin_2
Hhon_g02072.t1	stonin_2
Hhon_g02073.t1	apoptotic_peptidase_activating_factor_1
Hhon_g02074.t1	
Hhon_g02075.t1	DS_cell_adhesion_molecule
Hhon_g02076.t1	interleukin_6_signal_transducer
Hhon_g02077.t1	glutaryl_CoA_dehydrogenase
Hhon_g02078.t1	intraflagellar_transport_74
Hhon_g02079.t1	fms_related_receptor_tyrosine_kinase_1
Hhon_g02080.t1	
Hhon_g02081.t1	
Hhon_g02082.t1	protein_tyrosine_phosphatase_receptor_type_D
Hhon_g02083.t1	nucleoporin_155
Hhon_g02084.t1	thioredoxin_domain_containing_12
Hhon_g02085.t1	RAB3C_member_RAS_oncogene_family
Hhon_g02086.t1	INTS3_and_NABP_interacting_protein
Hhon_g02087.t1	serine_threonine_kinase_11
Hhon_g02088.t1	serine_threonine_kinase_11
Hhon_g02089.t1	sorting_nexin_7
Hhon_g02090.t1	coiled_coil_domain_containing_24
Hhon_g02091.t1	FCH_and_mu_domain_containing_endocytic_adaptor_2
Hhon_g02092.t1	zinc_finger_protein_367
Hhon_g02093.t1	
Hhon_g02094.t1	solute_carrier_family_4_member_11
Hhon_g02095.t1	serine_protease_12
Hhon_g02096.t1	
Hhon_g02097.t1	
Hhon_g02098.t1	
Hhon_g02099.t1	Rho_GTPase_activating_protein_45
Hhon_g02100.t1	
Hhon_g02101.t1	ankyrin_2
Hhon_g02102.t1	
Hhon_g02103.t1	
Hhon_g02104.t1	
Hhon_g02105.t1	
Hhon_g02106.t1	
Hhon_g02107.t1	ring_finger_protein_11
Hhon_g02108.t1	
Hhon_g02109.t1	
Hhon_g02110.t1	structural_maintenance_of_chromosomes_2
Hhon_g02111.t1	aldo_keto_reductase_family_1_member_A1
Hhon_g02112.t1	opioid_receptor_mu_1
Hhon_g02113.t1	hypocretin_receptor_1
Hhon_g02114.t1	
Hhon_g02115.t1	ankyrin_2
Hhon_g02116.t1	
Hhon_g02117.t1	
Hhon_g02118.t1	ankyrin_2
Hhon_g02119.t1	
Hhon_g02120.t1	
Hhon_g02121.t1	
Hhon_g02122.t1	
Hhon_g02123.t1	
Hhon_g02124.t1	
Hhon_g02125.t1	
Hhon_g02126.t1	
Hhon_g02127.t1	
Hhon_g02128.t1	
Hhon_g02129.t1	
Hhon_g02130.t1	
Hhon_g02131.t1	laminin_subunit_beta_1
Hhon_g02132.t1	
Hhon_g02133.t1	TBC1_domain_family_member_30
Hhon_g02134.t1	gem_nuclear_organelle_associated_protein_2
Hhon_g02135.t1	phosphatidylinositol_glycan_anchor_biosynthesis_class_N
Hhon_g02136.t1	cyclin_dependent_kinase_1
Hhon_g02137.t1	
Hhon_g02138.t1	mitochondrial_ribosomal_protein_S25
Hhon_g02139.t1	mitochondrial_ribosomal_protein_S25
Hhon_g02140.t1	rabenosyn_RAB_effector
Hhon_g02141.t1	F_box_and_leucine_rich_repeat_protein_13
Hhon_g02142.t1	cell_division_cycle_123
Hhon_g02143.t1	vezatin_adherens_junctions_transmembrane_protein
Hhon_g02144.t1	coiled_coil_domain_containing_144A
Hhon_g02145.t1	aldehyde_dehydrogenase_1_family_member_L2
Hhon_g02146.t1	cysteine_rich_DPF_motif_domain_containing_1
Hhon_g02147.t1	GRIP1_associated_protein_1
Hhon_g02148.t1	5_aminolevulinate_synthase_1
Hhon_g02149.t1	coiled_coil_domain_containing_115
Hhon_g02150.t1	
Hhon_g02151.t1	
Hhon_g02152.t1	
Hhon_g02153.t1	
Hhon_g02154.t1	
Hhon_g02155.t1	
Hhon_g02156.t1	transmembrane_protein_243
Hhon_g02157.t1	cyclin_D_binding_myb_like_transcription_factor_1
Hhon_g02158.t1	forkhead_box_P4
Hhon_g02159.t1	
Hhon_g02160.t1	RAD54_like_2
Hhon_g02161.t1	
Hhon_g02162.t1	eukaryotic_translation_initiation_factor_4E_family_member_3
Hhon_g02163.t1	HemK_methyltransferase_family_member_1
Hhon_g02164.t1	calcium_dependent_secretion_activator_2
Hhon_g02165.t1	
Hhon_g02166.t1	
Hhon_g02167.t1	
Hhon_g02168.t1	
Hhon_g02169.t1	
Hhon_g02170.t1	adhesion_G_protein_coupled_receptor_G2
Hhon_g02171.t1	
Hhon_g02172.t1	
Hhon_g02173.t1	bromodomain_and_PHD_finger_containing_1
Hhon_g02174.t1	solute_carrier_family_25_member_26
Hhon_g02175.t1	protein_kinase_cAMP_dependent_type_II_regulatory_subunit_alpha
Hhon_g02176.t1	
Hhon_g02177.t1	protein_kinase_cAMP_dependent_type_II_regulatory_subunit_alpha
Hhon_g02178.t1	6_phosphofructo_2_kinase_fructose_2_6_biphosphatase_2
Hhon_g02179.t1	6_phosphofructo_2_kinase_fructose_2_6_biphosphatase_2
Hhon_g02180.t1	
Hhon_g02181.t1	
Hhon_g02182.t1	ATP_binding_cassette_subfamily_D_member_2
Hhon_g02183.t1	
Hhon_g02184.t1	HECT_UBA_and_WWE_domain_containing_E3_ubiquitin_protein_ligase_1
Hhon_g02185.t1	UPF2_regulator_of_nonsense_mediated_mRNA_decay
Hhon_g02186.t1	succinate_CoA_ligase_GDP_forming_subunit_beta
Hhon_g02187.t1	COPI_coat_complex_subunit_gamma_1
Hhon_g02188.t1	
Hhon_g02189.t1	
Hhon_g02190.t1	UTP23_small_subunit_processome_component
Hhon_g02191.t1	fibrous_sheath_interacting_protein_1
Hhon_g02192.t1	Smad_nuclear_interacting_protein_1
Hhon_g02193.t1	calcium_voltage_gated_channel_auxiliary_subunit_alpha2delta_1
Hhon_g02194.t1	intraflagellar_transport_172
Hhon_g02195.t1	chromosome_6_open_reading_frame_58
Hhon_g02196.t1	
Hhon_g02197.t1	
Hhon_g02198.t1	mediator_complex_subunit_20
Hhon_g02199.t1	DALR_anticodon_binding_domain_containing_3
Hhon_g02200.t1	
Hhon_g02201.t1	H4_clustered_histone_1
Hhon_g02202.t1	major_facilitator_superfamily_domain_containing_3
Hhon_g02203.t1	LSM8_homolog_U6_small_nuclear_RNA_associated
Hhon_g02204.t1	adenosylhomocysteinase_like_2
Hhon_g02205.t1	nuclear_respiratory_factor_1
Hhon_g02206.t1	small_lysine_rich_protein_1
Hhon_g02207.t1	intraflagellar_transport_122
Hhon_g02208.t1	DENN_domain_containing_6A
Hhon_g02209.t1	nucleolar_protein_9
Hhon_g02210.t1	
Hhon_g02211.t1	
Hhon_g02212.t1	
Hhon_g02213.t1	
Hhon_g02214.t1	methyl_CpG_binding_domain_4_DNA_glycosylase
Hhon_g02215.t1	
Hhon_g02216.t1	BRCA1_associated_protein_1
Hhon_g02217.t1	serine_hydrolase_like_2
Hhon_g02218.t1	serine_hydrolase_like_2
Hhon_g02219.t1	
Hhon_g02220.t1	
Hhon_g02221.t1	
Hhon_g02222.t1	wolframin_ER_transmembrane_glycoprotein
Hhon_g02223.t1	
Hhon_g02224.t1	
Hhon_g02225.t1	apoptotic_peptidase_activating_factor_1
Hhon_g02226.t1	
Hhon_g02227.t1	
Hhon_g02228.t1	exoribonuclease_1
Hhon_g02229.t1	
Hhon_g02230.t1	protein_phosphatase_1_regulatory_subunit_3B
Hhon_g02231.t1	membrane_associated_ring_CH_type_finger_5
Hhon_g02232.t1	cytoplasmic_polyadenylation_element_binding_protein_2
Hhon_g02233.t1	protein_phosphatase_1_regulatory_subunit_3C
Hhon_g02234.t1	protein_phosphatase_1_regulatory_subunit_3C
Hhon_g02235.t1	insulin_degrading_enzyme
Hhon_g02236.t1	telomeric_repeat_binding_factor_1
Hhon_g02237.t1	RAB28_member_RAS_oncogene_family
Hhon_g02238.t1	phosphoglucomutase_3
Hhon_g02239.t1	
Hhon_g02240.t1	Rab9_effector_protein_with_kelch_motifs
Hhon_g02241.t1	ring_finger_protein_4
Hhon_g02242.t1	ring_finger_protein_4
Hhon_g02243.t1	
Hhon_g02244.t1	
Hhon_g02245.t1	HPS1_biogenesis_of_lysosomal_organelles_complex_3_subunit_1
Hhon_g02246.t1	acyl_CoA_dehydrogenase_short_branched_chain
Hhon_g02247.t1	dynein_2_intermediate_chain_2
Hhon_g02248.t1	catenin_alpha_2
Hhon_g02249.t1	tigger_transposable_element_derived_4
Hhon_g02250.t1	catenin_alpha_2
Hhon_g02251.t1	RNA_polymerase_II_subunit_B
Hhon_g02252.t1	TIA1_cytotoxic_granule_associated_RNA_binding_protein
Hhon_g02253.t1	
Hhon_g02254.t1	
Hhon_g02255.t1	ALG12_alpha_1_6_mannosyltransferase
Hhon_g02256.t1	RAB24_member_RAS_oncogene_family
Hhon_g02257.t1	glutamine_amidotransferase_like_class_1_domain_containing_3B
Hhon_g02258.t1	leucyl_and_cystinyl_aminopeptidase
Hhon_g02259.t1	glutamine_amidotransferase_like_class_1_domain_containing_3B
Hhon_g02260.t1	abraxas_2_BRISC_complex_subunit
Hhon_g02261.t1	mitochondrial_ribosomal_protein_S18C
Hhon_g02262.t1	charged_multivesicular_body_protein_3
Hhon_g02263.t1	zinc_finger_RANBP2_type_containing_1
Hhon_g02264.t1	DNA_polymerase_lambda
Hhon_g02265.t1	TBC1_domain_family_member_10B
Hhon_g02266.t1	
Hhon_g02267.t1	myoferlin
Hhon_g02268.t1	myoferlin
Hhon_g02269.t1	fibronectin_type_III_and_ankyrin_repeat_domains_1
Hhon_g02270.t1	
Hhon_g02271.t1	family_with_sequence_similarity_204_member_A
Hhon_g02272.t1	latent_transforming_growth_factor_beta_binding_protein_1
Hhon_g02273.t1	SPT7_like_STAGA_complex_subunit_gamma
Hhon_g02274.t1	NOP56_ribonucleoprotein
Hhon_g02275.t1	transmembrane_protein_128
Hhon_g02276.t1	transient_receptor_potential_cation_channel_subfamily_V_member_6
Hhon_g02277.t1	major_facilitator_superfamily_domain_containing_13A
Hhon_g02278.t1	palmitoyl_protein_thioesterase_2
Hhon_g02279.t1	family_with_sequence_similarity_160_member_B1
Hhon_g02280.t1	ring_finger_protein_103
Hhon_g02281.t1	U_box_domain_containing_5
Hhon_g02282.t1	D_aspartate_oxidase
Hhon_g02283.t1	D_aspartate_oxidase
Hhon_g02284.t1	spermatogenesis_associated_24
Hhon_g02285.t1	
Hhon_g02286.t1	ELOVL_fatty_acid_elongase_7
Hhon_g02287.t1	bridging_integrator_3
Hhon_g02288.t1	ornithine_aminotransferase
Hhon_g02289.t1	early_growth_response_1
Hhon_g02290.t1	RAB39B_member_RAS_oncogene_family
Hhon_g02291.t1	novel_protein
Hhon_g02292.t1	neuropeptide_FF_receptor_1
Hhon_g02293.t1	melatonin_receptor_1A
Hhon_g02294.t1	kynurenine_aminotransferase_3
Hhon_g02295.t1	neuropeptide_FF_receptor_2
Hhon_g02296.t1	
Hhon_g02297.t1	histamine_receptor_H2
Hhon_g02298.t1	prolactin_releasing_hormone_receptor
Hhon_g02299.t1	small_nuclear_ribonucleoprotein_polypeptide_A
Hhon_g02300.t1	mitogen_activated_protein_kinase_kinase_kinase_1
Hhon_g02301.t1	testis_associated_actin_remodelling_kinase_1
Hhon_g02302.t1	family_with_sequence_similarity_50_member_B
Hhon_g02303.t1	methyltransferase_like_16
Hhon_g02304.t1	epidermal_growth_factor_receptor_pathway_substrate_15
Hhon_g02305.t1	cystathionine_gamma_lyase
Hhon_g02306.t1	ferredoxin_2
Hhon_g02307.t1	
Hhon_g02308.t1	
Hhon_g02309.t1	UDP_glucose_ceramide_glucosyltransferase
Hhon_g02310.t1	ectonucleotide_pyrophosphatase_phosphodiesterase_3
Hhon_g02311.t1	ectonucleotide_pyrophosphatase_phosphodiesterase_3
Hhon_g02312.t1	ectonucleotide_pyrophosphatase_phosphodiesterase_3
Hhon_g02313.t1	ectonucleotide_pyrophosphatase_phosphodiesterase_3
Hhon_g02314.t1	Tctex1_domain_containing_1
Hhon_g02315.t1	HEAT_repeat_containing_1
Hhon_g02316.t1	trafficking_protein_particle_complex_13
Hhon_g02317.t1	cystathionine_gamma_lyase
Hhon_g02318.t1	caseinolytic_mitochondrial_matrix_peptidase_proteolytic_subunit
Hhon_g02319.t1	
Hhon_g02320.t1	
Hhon_g02321.t1	
Hhon_g02322.t1	splicing_regulatory_glutamic_acid_and_lysine_rich_protein_1
Hhon_g02323.t1	ADP_ribosylation_factor_like_GTPase_16
Hhon_g02324.t1	small_glutamine_rich_tetratricopeptide_repeat_containing_alpha
Hhon_g02325.t1	STIL_centriolar_assembly_protein
Hhon_g02326.t1	calreticulin
Hhon_g02327.t1	chromosome_19_open_reading_frame_44
Hhon_g02328.t1	DAB_adaptor_protein_2
Hhon_g02329.t1	tubulin_folding_cofactor_C
Hhon_g02330.t1	
Hhon_g02331.t1	phosphoinositide_3_kinase_regulatory_subunit_1
Hhon_g02332.t1	NADH_ubiquinone_oxidoreductase_complex_assembly_factor_2
Hhon_g02333.t1	hydroxysteroid_dehydrogenase_like_2
Hhon_g02334.t1	polypyrimidine_tract_binding_protein_2
Hhon_g02335.t1	VPS35_endosomal_protein_sorting_factor_like
Hhon_g02336.t1	TLC_domain_containing_4
Hhon_g02337.t1	WD_repeat_domain_49
Hhon_g02338.t1	nipsnap_homolog_3A
Hhon_g02339.t1	poly_A_binding_protein_interacting_protein_1
Hhon_g02340.t1	ankyrin_repeat_domain_13C
Hhon_g02341.t1	valosin_containing_protein
Hhon_g02342.t1	plasminogen_receptor_with_a_C_terminal_lysine
Hhon_g02343.t1	novel_protein
Hhon_g02344.t1	KN_motif_and_ankyrin_repeat_domains_4
Hhon_g02345.t1	solute_carrier_family_3_member_1
Hhon_g02346.t1	
Hhon_g02347.t1	NAD_synthetase_1
Hhon_g02348.t1	sperm_associated_antigen_8
Hhon_g02349.t1	peptidylglycine_alpha_amidating_monooxygenase
Hhon_g02350.t1	
Hhon_g02351.t1	ubiquitin_associated_protein_2_like
Hhon_g02352.t1	TP53_induced_glycolysis_regulatory_phosphatase
Hhon_g02353.t1	staphylococcal_nuclease_and_tudor_domain_containing_1
Hhon_g02354.t1	DEAF1_transcription_factor
Hhon_g02355.t1	PAT1_homolog_1_processing_body_mRNA_decay_factor
Hhon_g02356.t1	serine_threonine_kinase_33
Hhon_g02357.t1	SH3_domain_containing_GRB2_like_1_endophilin_A2
Hhon_g02358.t1	abhydrolase_domain_containing_11
Hhon_g02359.t1	ADP_ribosylation_factor_like_GTPase_15
Hhon_g02360.t1	NADH_ubiquinone_oxidoreductase_subunit_S4
Hhon_g02361.t1	mitochondrial_ribosomal_protein_L34
Hhon_g02362.t1	SPG21_abhydrolase_domain_containing_maspardin
Hhon_g02363.t1	acyl_CoA_synthetase_bubblegum_family_member_1
Hhon_g02364.t1	glucosylceramidase_beta
Hhon_g02365.t1	ankyrin_repeat_and_LEM_domain_containing_1
Hhon_g02366.t1	family_with_sequence_similarity_227_member_B
Hhon_g02367.t1	
Hhon_g02368.t1	protein_inhibitor_of_activated_STAT_3
Hhon_g02369.t1	hydrogen_voltage_gated_channel_1
Hhon_g02370.t1	hydrogen_voltage_gated_channel_1
Hhon_g02371.t1	hydrogen_voltage_gated_channel_1
Hhon_g02372.t1	nei_like_DNA_glycosylase_1
Hhon_g02373.t1	electron_transfer_flavoprotein_subunit_alpha
Hhon_g02374.t1	katanin_catalytic_subunit_A1_like_2
Hhon_g02375.t1	small_integral_membrane_protein_12
Hhon_g02376.t1	NEDD4_like_E3_ubiquitin_protein_ligase
Hhon_g02377.t1	Rho_Rac_guanine_nucleotide_exchange_factor_18
Hhon_g02378.t1	A_kinase_anchoring_protein_13
Hhon_g02379.t1	mannose_6_phosphate_receptor_cation_dependent
Hhon_g02380.t1	tetratricopeptide_repeat_domain_37
Hhon_g02381.t1	SUB1_regulator_of_transcription
Hhon_g02382.t1	survival_of_motor_neuron_2_centromeric
Hhon_g02383.t1	mitochondrial_ribosomal_protein_L24
Hhon_g02384.t1	SURP_and_G_patch_domain_containing_1
Hhon_g02385.t1	RAS_p21_protein_activator_1
Hhon_g02386.t1	SH2_domain_containing_adaptor_protein_B
Hhon_g02387.t1	dolichol_kinase
Hhon_g02388.t1	protein_prenyltransferase_alpha_subunit_repeat_containing_1
Hhon_g02389.t1	nudix_hydrolase_12
Hhon_g02390.t1	keratinocyte_associated_protein_2
Hhon_g02391.t1	
Hhon_g02392.t1	lamin_B1
Hhon_g02393.t1	
Hhon_g02394.t1	methylmalonyl_CoA_epimerase
Hhon_g02395.t1	programmed_cell_death_7
Hhon_g02396.t1	ribosomal_protein_S17
Hhon_g02397.t1	YTH_domain_containing_2
Hhon_g02398.t1	vacuolar_protein_sorting_45_homolog
Hhon_g02399.t1	transmembrane_BAX_inhibitor_motif_containing_6
Hhon_g02400.t1	kelch_like_family_member_23
Hhon_g02401.t1	DEAD_box_helicase_49
Hhon_g02402.t1	eukaryotic_translation_initiation_factor_3_subunit_J
Hhon_g02403.t1	SPG11_vesicle_trafficking_associated_spatacsin
Hhon_g02404.t1	coiled_coil_domain_containing_124
Hhon_g02405.t1	Ts_translation_elongation_factor_mitochondrial
Hhon_g02406.t1	guanylate_kinase_1
Hhon_g02407.t1	NME_NM23_family_member_8
Hhon_g02408.t1	
Hhon_g02409.t1	kalirin_RhoGEF_kinase
Hhon_g02410.t1	cytochrome_P450_family_3_subfamily_A_member_4
Hhon_g02411.t1	CYP3A7_CYP3A51P_readthrough
Hhon_g02412.t1	CYP3A7_CYP3A51P_readthrough
Hhon_g02413.t1	N_glycanase_1
Hhon_g02414.t1	oxysterol_binding_protein_like_6
Hhon_g02415.t1	family_with_sequence_similarity_207_member_A
Hhon_g02416.t1	
Hhon_g02417.t1	beclin_1
Hhon_g02418.t1	transmembrane_protein_41A
Hhon_g02419.t1	TATA_box_binding_protein
Hhon_g02420.t1	phosphatidylinositol_glycan_anchor_biosynthesis_class_A
Hhon_g02421.t1	ubiquitin_conjugating_enzyme_E2_G2
Hhon_g02422.t1	retinol_dehydrogenase_14
Hhon_g02423.t1	mitogen_activated_protein_kinase_kinase_kinase_13
Hhon_g02424.t1	LSM5_homolog_U6_small_nuclear_RNA_and_mRNA_degradation_associated
Hhon_g02425.t1	kalirin_RhoGEF_kinase
Hhon_g02426.t1	mitochondrial_assembly_of_ribosomal_large_subunit_1
Hhon_g02427.t1	EPH_receptor_A3
Hhon_g02428.t1	disco_interacting_protein_2_homolog_B
Hhon_g02429.t1	myosin_light_chain_kinase
Hhon_g02430.t1	ribonuclease_K
Hhon_g02431.t1	aminopeptidase_puromycin_sensitive
Hhon_g02432.t1	PNKD_metallo_beta_lactamase_domain_containing
Hhon_g02433.t1	angio_associated_migratory_cell_protein
Hhon_g02434.t1	cyclin_Pas1_PHO80_domain_containing_1
Hhon_g02435.t1	nucleic_acid_binding_protein_2
Hhon_g02436.t1	spermatogenesis_associated_serine_rich_2
Hhon_g02437.t1	pleckstrin_homology_domain_containing_A8
Hhon_g02438.t1	MPN_domain_containing
Hhon_g02439.t1	WW_domain_containing_adaptor_with_coiled_coil
Hhon_g02440.t1	RAB3_GTPase_activating_protein_catalytic_subunit_1
Hhon_g02441.t1	acyl_CoA_dehydrogenase_family_member_11
Hhon_g02442.t1	COP9_signalosome_subunit_8
Hhon_g02443.t1	membrane_palmitoylated_protein_7
Hhon_g02444.t1	leucine_rich_repeat_containing_47
Hhon_g02445.t1	N_ethylmaleimide_sensitive_factor_vesicle_fusing_ATPase
Hhon_g02446.t1	pseudouridine_synthase_7_like
Hhon_g02447.t1	G_protein_coupled_receptor_101
Hhon_g02448.t1	
Hhon_g02449.t1	
Hhon_g02450.t1	CD63_molecule
Hhon_g02451.t1	advillin
Hhon_g02452.t1	neurobeachin_like_1
Hhon_g02453.t1	ATP_binding_cassette_subfamily_B_member_1
Hhon_g02454.t1	Rap1_GTPase_GDP_dissociation_stimulator_1
Hhon_g02455.t1	La_ribonucleoprotein_7_transcriptional_regulator
Hhon_g02456.t1	GDP_mannose_pyrophosphorylase_A
Hhon_g02457.t1	DNA_polymerase_kappa
Hhon_g02458.t1	DTW_domain_containing_2
Hhon_g02459.t1	CWC22_spliceosome_associated_protein_homolog
Hhon_g02460.t1	
Hhon_g02461.t1	WD_repeat_domain_93
Hhon_g02462.t1	3_hydroxy_3_methylglutaryl_CoA_reductase
Hhon_g02463.t1	Dmx_like_1
Hhon_g02464.t1	peroxisomal_biogenesis_factor_11_beta
Hhon_g02465.t1	
Hhon_g02466.t1	cyclin_E1
Hhon_g02467.t1	small_nuclear_ribonucleoprotein_polypeptide_N
Hhon_g02468.t1	
Hhon_g02469.t1	tumor_protein_p53_inducible_nuclear_protein_1
Hhon_g02470.t1	KIAA1958
Hhon_g02471.t1	charged_multivesicular_body_protein_4B
Hhon_g02472.t1	formin_homology_2_domain_containing_3
Hhon_g02473.t1	ARV1_homolog_fatty_acid_homeostasis_modulator
Hhon_g02474.t1	biogenesis_of_lysosomal_organelles_complex_1_subunit_4
Hhon_g02475.t1	
Hhon_g02476.t1	mevalonate_diphosphate_decarboxylase
Hhon_g02477.t1	nibrin
Hhon_g02478.t1	chromosome_1_open_reading_frame_109
Hhon_g02479.t1	zinc_finger_AN1_type_containing_1
Hhon_g02480.t1	SAC1_like_phosphatidylinositide_phosphatase
Hhon_g02481.t1	mitochondrial_ribosomal_protein_L52
Hhon_g02482.t1	solute_carrier_family_7_member_9
Hhon_g02483.t1	solute_carrier_family_7_member_9
Hhon_g02484.t1	junctophilin_3
Hhon_g02485.t1	eukaryotic_translation_initiation_factor_2_subunit_beta
Hhon_g02486.t1	dehydrogenase_reductase_1
Hhon_g02487.t1	dehydrogenase_reductase_1
Hhon_g02488.t1	dehydrogenase_reductase_1
Hhon_g02489.t1	dehydrogenase_reductase_1
Hhon_g02490.t1	centrosomal_protein_72
Hhon_g02491.t1	tubulin_polymerization_promoting_protein_family_member_2
Hhon_g02492.t1	RNA_polymerase_II_subunit_C
Hhon_g02493.t1	potassium_calcium_activated_channel_subfamily_M_alpha_1
Hhon_g02494.t1	ubiquitin_conjugating_enzyme_E2_C
Hhon_g02495.t1	RAN_binding_protein_9
Hhon_g02496.t1	leucine_rich_melanocyte_differentiation_associated
Hhon_g02497.t1	leucine_rich_melanocyte_differentiation_associated
Hhon_g02498.t1	H2A.Z_variant_histone_2
Hhon_g02499.t1	trafficking_protein_particle_complex_8
Hhon_g02500.t1	sorting_nexin_20
Hhon_g02501.t1	integrator_complex_subunit_8
Hhon_g02502.t1	protein_O_glucosyltransferase_2
Hhon_g02503.t1	TOX_high_mobility_group_box_family_member_4
Hhon_g02504.t1	protein_arginine_methyltransferase_7
Hhon_g02505.t1	
Hhon_g02506.t1	DEAH_box_helicase_35
Hhon_g02507.t1	peptidase_M20_domain_containing_2
Hhon_g02508.t1	uracil_phosphoribosyltransferase_homolog
Hhon_g02509.t1	glucose_fructose_oxidoreductase_domain_containing_2
Hhon_g02510.t1	sirtuin_5
Hhon_g02511.t1	chromosome_transmission_fidelity_factor_8
Hhon_g02512.t1	
Hhon_g02513.t1	neuropeptide_FF_receptor_2
Hhon_g02514.t1	growth_arrest_specific_8
Hhon_g02515.t1	cytochrome_P450_family_3_subfamily_A_member_4
Hhon_g02516.t1	cytochrome_P450_family_3_subfamily_A_member_5
Hhon_g02517.t1	leucine_rich_repeat_containing_69
Hhon_g02518.t1	RAB5_interacting_factor
Hhon_g02519.t1	RAB_interacting_factor
Hhon_g02520.t1	rhophilin_Rho_GTPase_binding_protein_2
Hhon_g02521.t1	abhydrolase_domain_containing_4_N_acyl_phospholipase_B
Hhon_g02522.t1	6_phosphogluconolactonase
Hhon_g02523.t1	
Hhon_g02524.t1	glutamic_pyruvic_transaminase_2
Hhon_g02525.t1	2_phosphoxylose_phosphatase_1
Hhon_g02526.t1	ubiquinol_cytochrome_c_reductase_Rieske_iron_sulfur_polypeptide_1
Hhon_g02527.t1	
Hhon_g02528.t1	eukaryotic_translation_initiation_factor_2_alpha_kinase_1
Hhon_g02529.t1	DEAD_box_helicase_54
Hhon_g02530.t1	ubiquitin_specific_peptidase_10
Hhon_g02531.t1	PIGY_upstream_reading_frame
Hhon_g02532.t1	cytosolic_thiouridylase_subunit_2
Hhon_g02533.t1	ataxin_1_like
Hhon_g02534.t1	guanosine_monophosphate_reductase_2
Hhon_g02535.t1	piezo_type_mechanosensitive_ion_channel_component_1
Hhon_g02536.t1	SEH1_like_nucleoporin
Hhon_g02537.t1	neuralized_E3_ubiquitin_protein_ligase_2
Hhon_g02538.t1	G_protein_subunit_alpha_L
