Hhon_g00001.t1	zinc_finger_BED_type_containing_6	Dimer_Tnp_hAT/
Hhon_g02176.t1		RIIa/
Hhon_g02177.t1	protein_kinase_cAMP_dependent_type_II_regulatory_subunit_alpha	RIIa/cNMP_binding/cNMP_binding/
Hhon_g02178.t1	6_phosphofructo_2_kinase_fructose_2_6_biphosphatase_2	6PF2K/His_Phos_1/
Hhon_g02179.t1	6_phosphofructo_2_kinase_fructose_2_6_biphosphatase_2	6PF2K/His_Phos_1/
Hhon_g02180.t1		
Hhon_g02181.t1		
Hhon_g02182.t1	ATP_binding_cassette_subfamily_D_member_2	ABC_membrane_2/ABC_tran/
Hhon_g02183.t1		
Hhon_g02184.t1	HECT_UBA_and_WWE_domain_containing_E3_ubiquitin_protein_ligase_1	DUF908/DUF913/WWE/UBM/UBM/UBM/HECT/DUF4550/
Hhon_g02185.t1	UPF2_regulator_of_nonsense_mediated_mRNA_decay	MIF4G/MIF4G/MIF4G/Upf2/
Hhon_g02186.t1	succinate_CoA_ligase_GDP_forming_subunit_beta	ATP-grasp_2/Ligase_CoA/
Hhon_g02187.t1	COPI_coat_complex_subunit_gamma_1	Adaptin_N/COP-gamma_platf/Coatomer_g_Cpla/
Hhon_g02188.t1		
Hhon_g02189.t1		
Hhon_g02190.t1	UTP23_small_subunit_processome_component	Fcf1/
Hhon_g02191.t1	fibrous_sheath_interacting_protein_1	FSIP1/
Hhon_g02192.t1	Smad_nuclear_interacting_protein_1	FHA/
Hhon_g02193.t1	calcium_voltage_gated_channel_auxiliary_subunit_alpha2delta_1	VWA_N/VWA/
Hhon_g02194.t1	intraflagellar_transport_172	
Hhon_g02195.t1	chromosome_6_open_reading_frame_58	Leg1/
Hhon_g02196.t1		
Hhon_g02197.t1		
Hhon_g02198.t1	mediator_complex_subunit_20	Med20/
Hhon_g02199.t1	DALR_anticodon_binding_domain_containing_3	DALR_1/
Hhon_g02200.t1		zf-met/zf-C2H2_jaz/
Hhon_g02201.t1	H4_clustered_histone_1	CENP-T_C/
Hhon_g02202.t1	major_facilitator_superfamily_domain_containing_3	Acatn/Acatn/
Hhon_g02203.t1	LSM8_homolog_U6_small_nuclear_RNA_associated	LSM/
Hhon_g02204.t1	adenosylhomocysteinase_like_2	AdoHcyase/AdoHcyase_NAD/
Hhon_g02205.t1	nuclear_respiratory_factor_1	Nrf1_DNA-bind/
Hhon_g02206.t1	small_lysine_rich_protein_1	
Hhon_g02207.t1	intraflagellar_transport_122	WD40/WD40/WD40/
Hhon_g02208.t1	DENN_domain_containing_6A	Avl9/SPA/
Hhon_g02209.t1	nucleolar_protein_9	CLP1_P/
Hhon_g02210.t1		
Hhon_g02211.t1		
Hhon_g02212.t1		
Hhon_g02213.t1		
Hhon_g02214.t1	methyl_CpG_binding_domain_4_DNA_glycosylase	
Hhon_g02215.t1		
Hhon_g02216.t1	BRCA1_associated_protein_1	Peptidase_C12/UCH_C/
Hhon_g02217.t1	serine_hydrolase_like_2	Abhydrolase_1/
Hhon_g02218.t1	serine_hydrolase_like_2	Abhydrolase_1/
Hhon_g02219.t1		
Hhon_g02220.t1		
Hhon_g02221.t1		
Hhon_g02222.t1	wolframin_ER_transmembrane_glycoprotein	Sel1/Sel1/Sel1/
Hhon_g02223.t1		EF-hand_7/
Hhon_g02224.t1		
Hhon_g02225.t1	apoptotic_peptidase_activating_factor_1	CARD/NB-ARC/APAF1_C/WD40/WD40/WD40/WD40/WD40/WD40/WD40/
Hhon_g02226.t1		NB-ARC/TPR_12/TPR_8/TPR_12/TPR_12/
Hhon_g02227.t1		TPR_8/TPR_12/TPR_8/TPR_12/
Hhon_g02228.t1	exoribonuclease_1	RNase_T/
Hhon_g02229.t1		Cupin_5/
Hhon_g02230.t1	protein_phosphatase_1_regulatory_subunit_3B	CBM_21/
Hhon_g02231.t1	membrane_associated_ring_CH_type_finger_5	RINGv/
Hhon_g02232.t1	cytoplasmic_polyadenylation_element_binding_protein_2	RRM_7/CEBP_ZZ/
Hhon_g02233.t1	protein_phosphatase_1_regulatory_subunit_3C	CBM_21/
Hhon_g02234.t1	protein_phosphatase_1_regulatory_subunit_3C	CBM_21/
Hhon_g02235.t1	insulin_degrading_enzyme	Peptidase_M16/Peptidase_M16_C/Peptidase_M16_M/Peptidase_M16_C/
Hhon_g02236.t1	telomeric_repeat_binding_factor_1	Myb_DNA-binding/
Hhon_g02237.t1	RAB28_member_RAS_oncogene_family	Ras/
Hhon_g02238.t1	phosphoglucomutase_3	PGM_PMM_I/PGM_PMM_I/PGM_PMM_IV/
Hhon_g02239.t1		EVC2_like/
Hhon_g02240.t1	Rab9_effector_protein_with_kelch_motifs	Kelch_2/Kelch_4/Kelch_1/
Hhon_g02241.t1	ring_finger_protein_4	zf-RING_2/
Hhon_g02242.t1	ring_finger_protein_4	zf-RING_2/
Hhon_g02243.t1		
Hhon_g02244.t1		
Hhon_g02245.t1	HPS1_biogenesis_of_lysosomal_organelles_complex_3_subunit_1	Fuz_longin_3/
Hhon_g02246.t1	acyl_CoA_dehydrogenase_short_branched_chain	Acyl-CoA_dh_N/Acyl-CoA_dh_M/Acyl-CoA_dh_1/
Hhon_g02247.t1	dynein_2_intermediate_chain_2	
Hhon_g02248.t1	catenin_alpha_2	Vinculin/Vinculin/
Hhon_g02249.t1	tigger_transposable_element_derived_4	HTH_Tnp_Tc5/
Hhon_g02250.t1	catenin_alpha_2	Vinculin/Vinculin/Vinculin/Vinculin/
Hhon_g02251.t1	RNA_polymerase_II_subunit_B	RNA_pol_Rpb2_1/RNA_pol_Rpb2_2/RNA_pol_Rpb2_3/RNA_pol_Rpb2_4/RNA_pol_Rpb2_5/RNA_pol_Rpb2_6/RNA_pol_Rpb2_7/
Hhon_g02252.t1	TIA1_cytotoxic_granule_associated_RNA_binding_protein	RRM_1/RRM_1/RRM_1/
Hhon_g02253.t1		
Hhon_g02254.t1		MRP-S26/
Hhon_g02255.t1	ALG12_alpha_1_6_mannosyltransferase	Glyco_transf_22/
Hhon_g02256.t1	RAB24_member_RAS_oncogene_family	Ras/
Hhon_g02257.t1	glutamine_amidotransferase_like_class_1_domain_containing_3B	
Hhon_g02258.t1	leucyl_and_cystinyl_aminopeptidase	Peptidase_M1_N/Peptidase_M1/ERAP1_C/
Hhon_g02259.t1	glutamine_amidotransferase_like_class_1_domain_containing_3B	
Hhon_g02260.t1	abraxas_2_BRISC_complex_subunit	
Hhon_g02261.t1	mitochondrial_ribosomal_protein_S18C	Ribosomal_S18/
Hhon_g02262.t1	charged_multivesicular_body_protein_3	Snf7/
Hhon_g02263.t1	zinc_finger_RANBP2_type_containing_1	zf-RanBP/zf-RanBP/zf-RanBP/AnkUBD/OTU/
Hhon_g02264.t1	DNA_polymerase_lambda	BRCT/HHH_8/DNA_pol_lambd_f/DNA_pol_B_palm/DNA_pol_B_thumb/
Hhon_g02265.t1	TBC1_domain_family_member_10B	RabGAP-TBC/
Hhon_g02266.t1		
Hhon_g02267.t1	myoferlin	C2/C2/FerI/C2/FerB/C2/C2/C2/Ferlin_C/
Hhon_g02268.t1	myoferlin	C2/C2/FerI/C2/FerB/C2/C2/C2/Ferlin_C/
Hhon_g02269.t1	fibronectin_type_III_and_ankyrin_repeat_domains_1	Ank_2/Ank_2/Ank_2/
Hhon_g02270.t1		
Hhon_g02271.t1	family_with_sequence_similarity_204_member_A	UVR/
Hhon_g02272.t1	latent_transforming_growth_factor_beta_binding_protein_1	Ig_3/EGF_2/
Hhon_g02273.t1	SPT7_like_STAGA_complex_subunit_gamma	Bromo_TP/
Hhon_g02274.t1	NOP56_ribonucleoprotein	NOP5NT/Nop/
Hhon_g02275.t1	transmembrane_protein_128	
Hhon_g02276.t1	transient_receptor_potential_cation_channel_subfamily_V_member_6	Ank_2/Ion_trans/
Hhon_g02277.t1	major_facilitator_superfamily_domain_containing_13A	MFS_2/
Hhon_g02278.t1	palmitoyl_protein_thioesterase_2	Palm_thioest/
Hhon_g02279.t1	family_with_sequence_similarity_160_member_B1	RAI16-like/
Hhon_g02280.t1	ring_finger_protein_103	zf-RING_2/
Hhon_g02281.t1	U_box_domain_containing_5	U-box/
Hhon_g02282.t1	D_aspartate_oxidase	DAO/
Hhon_g02283.t1	D_aspartate_oxidase	DAO/
Hhon_g02284.t1	spermatogenesis_associated_24	SPATA24/
Hhon_g02285.t1		
Hhon_g02286.t1	ELOVL_fatty_acid_elongase_7	ELO/
Hhon_g02287.t1	bridging_integrator_3	BAR/
Hhon_g02288.t1	ornithine_aminotransferase	Aminotran_3/
Hhon_g02289.t1	early_growth_response_1	zf-C2H2/zf-C2H2/zf-C2H2/
Hhon_g02290.t1	RAB39B_member_RAS_oncogene_family	Ras/
Hhon_g02291.t1	novel_protein	SPICE/SPICE/
Hhon_g02292.t1	neuropeptide_FF_receptor_1	7tm_1/
Hhon_g02293.t1	melatonin_receptor_1A	7tm_1/
Hhon_g02294.t1	kynurenine_aminotransferase_3	Aminotran_1_2/
Hhon_g02295.t1	neuropeptide_FF_receptor_2	7tm_1/
Hhon_g02296.t1		
Hhon_g02297.t1	histamine_receptor_H2	7tm_1/
Hhon_g02298.t1	prolactin_releasing_hormone_receptor	7tm_1/
Hhon_g02299.t1	small_nuclear_ribonucleoprotein_polypeptide_A	LRR_9/
Hhon_g02300.t1	mitogen_activated_protein_kinase_kinase_kinase_1	SWIM/Pkinase/
Hhon_g02301.t1	testis_associated_actin_remodelling_kinase_1	Pkinase_Tyr/
Hhon_g02302.t1	family_with_sequence_similarity_50_member_B	XAP5/
Hhon_g02303.t1	methyltransferase_like_16	Methyltransf_10/
Hhon_g02304.t1	epidermal_growth_factor_receptor_pathway_substrate_15	EF-hand_4/EF-hand_4/EF-hand_4/
Hhon_g02305.t1	cystathionine_gamma_lyase	Cys_Met_Meta_PP/
Hhon_g02306.t1	ferredoxin_2	Fer2/
Hhon_g02307.t1		Patatin/
Hhon_g02308.t1		Patatin/
Hhon_g02309.t1	UDP_glucose_ceramide_glucosyltransferase	Glyco_transf_21/
Hhon_g02310.t1	ectonucleotide_pyrophosphatase_phosphodiesterase_3	Phosphodiest/Endonuclease_NS/
Hhon_g02311.t1	ectonucleotide_pyrophosphatase_phosphodiesterase_3	Phosphodiest/Endonuclease_NS/
Hhon_g02312.t1	ectonucleotide_pyrophosphatase_phosphodiesterase_3	Phosphodiest/Endonuclease_NS/
Hhon_g02313.t1	ectonucleotide_pyrophosphatase_phosphodiesterase_3	Phosphodiest/Endonuclease_NS/
Hhon_g02314.t1	Tctex1_domain_containing_1	Tctex-1/
Hhon_g02315.t1	HEAT_repeat_containing_1	U3snoRNP10/BP28CT/
Hhon_g02316.t1	trafficking_protein_particle_complex_13	DUF974/
Hhon_g02317.t1	cystathionine_gamma_lyase	Cys_Met_Meta_PP/
Hhon_g02318.t1	caseinolytic_mitochondrial_matrix_peptidase_proteolytic_subunit	CLP_protease/
Hhon_g02319.t1		
Hhon_g02320.t1		TauD/
Hhon_g02321.t1		
Hhon_g02322.t1	splicing_regulatory_glutamic_acid_and_lysine_rich_protein_1	RRM_1/RRM_1/
Hhon_g02323.t1	ADP_ribosylation_factor_like_GTPase_16	Arf/
Hhon_g02324.t1	small_glutamine_rich_tetratricopeptide_repeat_containing_alpha	SGTA_dimer/TPR_11/TPR_8/
Hhon_g02325.t1	STIL_centriolar_assembly_protein	STIL_N/
Hhon_g02326.t1	calreticulin	Calreticulin/Calreticulin/
Hhon_g02327.t1	chromosome_19_open_reading_frame_44	DUF4614/
Hhon_g02328.t1	DAB_adaptor_protein_2	PID/
Hhon_g02329.t1	tubulin_folding_cofactor_C	TBCC_N/TBCC/
Hhon_g02330.t1		
Hhon_g02331.t1	phosphoinositide_3_kinase_regulatory_subunit_1	C1_1/SAM_1/C1_1/RhoGAP/SH2/PI3K_P85_iSH2/SH2/
Hhon_g02332.t1	NADH_ubiquinone_oxidoreductase_complex_assembly_factor_2	NDUFA12/
Hhon_g02333.t1	hydroxysteroid_dehydrogenase_like_2	adh_short/
Hhon_g02334.t1	polypyrimidine_tract_binding_protein_2	RRM_8/RRM_5/RRM_1/
Hhon_g02335.t1	VPS35_endosomal_protein_sorting_factor_like	
Hhon_g02336.t1	TLC_domain_containing_4	TRAM_LAG1_CLN8/
Hhon_g02337.t1	WD_repeat_domain_49	EF-hand_8/
Hhon_g02338.t1	nipsnap_homolog_3A	NIPSNAP/NIPSNAP/
Hhon_g02339.t1	poly_A_binding_protein_interacting_protein_1	MIF4G/
Hhon_g02340.t1	ankyrin_repeat_domain_13C	Ank_2/GPCR_chapero_1/
Hhon_g02341.t1	valosin_containing_protein	CDC48_N/CDC48_2/AAA/AAA_lid_3/AAA/AAA_lid_3/Vps4_C/
Hhon_g02342.t1	plasminogen_receptor_with_a_C_terminal_lysine	DUF2368/
Hhon_g02343.t1	novel_protein	Cauli_VI/RNase_H/
Hhon_g02344.t1	KN_motif_and_ankyrin_repeat_domains_4	Ank_2/
Hhon_g02345.t1	solute_carrier_family_3_member_1	Alpha-amylase/
Hhon_g02346.t1		
Hhon_g02347.t1	NAD_synthetase_1	NAD_synthase/
Hhon_g02348.t1	sperm_associated_antigen_8	
Hhon_g02349.t1	peptidylglycine_alpha_amidating_monooxygenase	Cu2_monooxygen/Cu2_monoox_C/NHL/Kazal_1/Kazal_1/Kazal_1/Kazal_2/
Hhon_g02350.t1		PH/
Hhon_g02351.t1	ubiquitin_associated_protein_2_like	DUF3697/
Hhon_g02352.t1	TP53_induced_glycolysis_regulatory_phosphatase	His_Phos_1/
Hhon_g02353.t1	staphylococcal_nuclease_and_tudor_domain_containing_1	SNase/SNase/SNase/SNase/TUDOR/
Hhon_g02354.t1	DEAF1_transcription_factor	SAND/
Hhon_g02355.t1	PAT1_homolog_1_processing_body_mRNA_decay_factor	PAT1/
Hhon_g02356.t1	serine_threonine_kinase_33	Pkinase/
Hhon_g02357.t1	SH3_domain_containing_GRB2_like_1_endophilin_A2	BAR/SH3_1/
Hhon_g02358.t1	abhydrolase_domain_containing_11	Abhydrolase_1/
Hhon_g02359.t1	ADP_ribosylation_factor_like_GTPase_15	Arf/
Hhon_g02360.t1	NADH_ubiquinone_oxidoreductase_subunit_S4	ETC_C1_NDUFA4/
Hhon_g02361.t1	mitochondrial_ribosomal_protein_L34	Ribosomal_L34/
Hhon_g02362.t1	SPG21_abhydrolase_domain_containing_maspardin	Abhydrolase_1/
Hhon_g02363.t1	acyl_CoA_synthetase_bubblegum_family_member_1	AMP-binding/
Hhon_g02364.t1	glucosylceramidase_beta	Glyco_hydro_30/
Hhon_g02365.t1	ankyrin_repeat_and_LEM_domain_containing_1	Ank_2/LEM/
Hhon_g02366.t1	family_with_sequence_similarity_227_member_B	FWWh/
Hhon_g02367.t1		
Hhon_g02368.t1	protein_inhibitor_of_activated_STAT_3	PINIT/zf-MIZ/
Hhon_g02369.t1	hydrogen_voltage_gated_channel_1	Ion_trans/
Hhon_g02370.t1	hydrogen_voltage_gated_channel_1	Ion_trans/
Hhon_g02371.t1	hydrogen_voltage_gated_channel_1	Ion_trans/
Hhon_g02372.t1	nei_like_DNA_glycosylase_1	Fapy_DNA_glyco/Neil1-DNA_bind/
Hhon_g02373.t1	electron_transfer_flavoprotein_subunit_alpha	ETF/ETF_alpha/
Hhon_g02374.t1	katanin_catalytic_subunit_A1_like_2	LisH/AAA/AAA_lid_3/
Hhon_g02375.t1	small_integral_membrane_protein_12	UPF0767/
Hhon_g02376.t1	NEDD4_like_E3_ubiquitin_protein_ligase	C2/WW/WW/WW/HECT/
Hhon_g02377.t1	Rho_Rac_guanine_nucleotide_exchange_factor_18	RhoGEF/PH_16/
Hhon_g02378.t1	A_kinase_anchoring_protein_13	
Hhon_g02379.t1	mannose_6_phosphate_receptor_cation_dependent	ATG27/
Hhon_g02380.t1	tetratricopeptide_repeat_domain_37	TPR_16/
Hhon_g02381.t1	SUB1_regulator_of_transcription	PC4/
Hhon_g02382.t1	survival_of_motor_neuron_2_centromeric	SMN/SMN/
Hhon_g02383.t1	mitochondrial_ribosomal_protein_L24	KOW/ribosomal_L24/
Hhon_g02384.t1	SURP_and_G_patch_domain_containing_1	G-patch/
Hhon_g02385.t1	RAS_p21_protein_activator_1	SH2/SH3_1/SH2/PH/C2/RasGAP/RasGAP/
Hhon_g02386.t1	SH2_domain_containing_adaptor_protein_B	SH2/
Hhon_g02387.t1	dolichol_kinase	
Hhon_g02388.t1	protein_prenyltransferase_alpha_subunit_repeat_containing_1	PPTA/PPTA/
Hhon_g02389.t1	nudix_hydrolase_12	Ank_2/zf-NADH-PPase/NUDIX/
Hhon_g02390.t1	keratinocyte_associated_protein_2	Keratin_assoc/
Hhon_g02391.t1		Ammonium_transp/
Hhon_g02392.t1	lamin_B1	Filament/LTD/
Hhon_g02393.t1		
Hhon_g02394.t1	methylmalonyl_CoA_epimerase	Glyoxalase_4/
Hhon_g02395.t1	programmed_cell_death_7	PDCD7/
Hhon_g02396.t1	ribosomal_protein_S17	Ribosomal_S17e/
Hhon_g02397.t1	YTH_domain_containing_2	R3H/DEAD/Ank_5/Helicase_C/HA2/OB_NTP_bind/YTH/YTH/
Hhon_g02398.t1	vacuolar_protein_sorting_45_homolog	Sec1/
Hhon_g02399.t1	transmembrane_BAX_inhibitor_motif_containing_6	Bax1-I/
Hhon_g02400.t1	kelch_like_family_member_23	BTB/BACK/Kelch_1/Kelch_1/Kelch_1/Kelch_1/
Hhon_g02401.t1	DEAD_box_helicase_49	DEAD/Helicase_C/
Hhon_g02402.t1	eukaryotic_translation_initiation_factor_3_subunit_J	eIF3_subunit/
Hhon_g02403.t1	SPG11_vesicle_trafficking_associated_spatacsin	Spatacsin_C/
Hhon_g02404.t1	coiled_coil_domain_containing_124	Ccdc124/
Hhon_g02405.t1	Ts_translation_elongation_factor_mitochondrial	EF_TS/
Hhon_g02406.t1	guanylate_kinase_1	Guanylate_kin/
Hhon_g02407.t1	NME_NM23_family_member_8	Thioredoxin/NDK/NDK/NDK/
Hhon_g02408.t1		
Hhon_g02409.t1	kalirin_RhoGEF_kinase	Spectrin/Spectrin/
Hhon_g02410.t1	cytochrome_P450_family_3_subfamily_A_member_4	p450/
Hhon_g02411.t1	CYP3A7_CYP3A51P_readthrough	p450/
Hhon_g02412.t1	CYP3A7_CYP3A51P_readthrough	p450/
Hhon_g02413.t1	N_glycanase_1	PUB/Transglut_core/PAW/
Hhon_g02414.t1	oxysterol_binding_protein_like_6	PH_8/Oxysterol_BP/
Hhon_g02415.t1	family_with_sequence_similarity_207_member_A	SLX9/
Hhon_g02416.t1		
Hhon_g02417.t1	beclin_1	APG6_N/APG6/
Hhon_g02418.t1	transmembrane_protein_41A	SNARE_assoc/
Hhon_g02419.t1	TATA_box_binding_protein	TBP/TBP/
Hhon_g02420.t1	phosphatidylinositol_glycan_anchor_biosynthesis_class_A	PIGA/Glycos_transf_1/
Hhon_g02421.t1	ubiquitin_conjugating_enzyme_E2_G2	UQ_con/
Hhon_g02422.t1	retinol_dehydrogenase_14	adh_short/
Hhon_g02423.t1	mitogen_activated_protein_kinase_kinase_kinase_13	Pkinase_Tyr/
Hhon_g02424.t1	LSM5_homolog_U6_small_nuclear_RNA_and_mRNA_degradation_associated	LSM/
Hhon_g02425.t1	kalirin_RhoGEF_kinase	Spectrin/Spectrin/RhoGEF/RhoGEF/I-set/Pkinase/
Hhon_g02426.t1	mitochondrial_assembly_of_ribosomal_large_subunit_1	RsfS/
Hhon_g02427.t1	EPH_receptor_A3	Pkinase_Tyr/
Hhon_g02428.t1	disco_interacting_protein_2_homolog_B	DMAP_binding/AMP-binding/AMP-binding/
Hhon_g02429.t1	myosin_light_chain_kinase	I-set/I-set/I-set/fn3/Pkinase/I-set/Pkinase/I-set/fn3/
Hhon_g02430.t1	ribonuclease_K	
Hhon_g02431.t1	aminopeptidase_puromycin_sensitive	Peptidase_M1_N/Peptidase_M1/ERAP1_C/
Hhon_g02432.t1	PNKD_metallo_beta_lactamase_domain_containing	DUF4748/
Hhon_g02433.t1	angio_associated_migratory_cell_protein	WD40/WD40/WD40/WD40/
Hhon_g02434.t1	cyclin_Pas1_PHO80_domain_containing_1	Cyclin_N/
Hhon_g02435.t1	nucleic_acid_binding_protein_2	
Hhon_g02436.t1	spermatogenesis_associated_serine_rich_2	
Hhon_g02437.t1	pleckstrin_homology_domain_containing_A8	PH/GLTP/
Hhon_g02438.t1	MPN_domain_containing	RAMA/JAB/
Hhon_g02439.t1	WW_domain_containing_adaptor_with_coiled_coil	WW/
Hhon_g02440.t1	RAB3_GTPase_activating_protein_catalytic_subunit_1	Rab3-GTPase_cat/Rab3-GTPase_cat/L27/PDZ/SH3_1/Guanylate_kin/
Hhon_g02441.t1	acyl_CoA_dehydrogenase_family_member_11	APH/Acyl-CoA_dh_N/Acyl-CoA_dh_M/Acyl-CoA_dh_1/
Hhon_g02442.t1	COP9_signalosome_subunit_8	CSN8_PSD8_EIF3K/
Hhon_g02443.t1	membrane_palmitoylated_protein_7	PDZ/Guanylate_kin/
Hhon_g02444.t1	leucine_rich_repeat_containing_47	LRR_8/
Hhon_g02445.t1	N_ethylmaleimide_sensitive_factor_vesicle_fusing_ATPase	Glutaredoxin/AAA/AAA_lid_3/AAA/
Hhon_g02446.t1	pseudouridine_synthase_7_like	TruD/
Hhon_g02447.t1	G_protein_coupled_receptor_101	7tm_1/
Hhon_g02448.t1		VIT/
Hhon_g02449.t1		CCDC14/
Hhon_g02450.t1	CD63_molecule	Tetraspanin/
Hhon_g02451.t1	advillin	Gelsolin/Gelsolin/Gelsolin/Gelsolin/Gelsolin/Gelsolin/VHP/
Hhon_g02452.t1	neurobeachin_like_1	Laminin_G_3/DUF4704/DUF4800/PH_BEACH/Beach/WD40/
Hhon_g02453.t1	ATP_binding_cassette_subfamily_B_member_1	ABC_membrane/ABC_tran/ABC_membrane/ABC_tran/ABC_membrane/
Hhon_g02454.t1	Rap1_GTPase_GDP_dissociation_stimulator_1	
Hhon_g02455.t1	La_ribonucleoprotein_7_transcriptional_regulator	La/RRM_1/RRM_3/
Hhon_g02456.t1	GDP_mannose_pyrophosphorylase_A	NTP_transferase/Hexapep/
Hhon_g02457.t1	DNA_polymerase_kappa	IMS/IMS_C/
Hhon_g02458.t1	DTW_domain_containing_2	DTW/
Hhon_g02459.t1	CWC22_spliceosome_associated_protein_homolog	MIF4G/MA3/
Hhon_g02460.t1		Lipase_2/
Hhon_g02461.t1	WD_repeat_domain_93	
Hhon_g02462.t1	3_hydroxy_3_methylglutaryl_CoA_reductase	Sterol-sensing/HMG-CoA_red/
Hhon_g02463.t1	Dmx_like_1	Rav1p_C/Rav1p_C/WD40/
Hhon_g02464.t1	peroxisomal_biogenesis_factor_11_beta	PEX11/
Hhon_g02465.t1		
Hhon_g02466.t1	cyclin_E1	Cyclin_N/Cyclin_C/
Hhon_g02467.t1	small_nuclear_ribonucleoprotein_polypeptide_N	LSM/
Hhon_g02468.t1		BtpA/
Hhon_g02469.t1	tumor_protein_p53_inducible_nuclear_protein_1	DOR/
Hhon_g02470.t1	KIAA1958	DUF3504/
Hhon_g02471.t1	charged_multivesicular_body_protein_4B	Snf7/
Hhon_g02472.t1	formin_homology_2_domain_containing_3	Formin_GBD_N/FH2/
Hhon_g02473.t1	ARV1_homolog_fatty_acid_homeostasis_modulator	Arv1/
Hhon_g02474.t1	biogenesis_of_lysosomal_organelles_complex_1_subunit_4	
Hhon_g02475.t1		Epimerase/
Hhon_g02476.t1	mevalonate_diphosphate_decarboxylase	GHMP_kinases_N/MDD_C/
Hhon_g02477.t1	nibrin	FHA/RTT107_BRCT_5/NIBRIN_BRCT_II/Nbs1_C/
Hhon_g02478.t1	chromosome_1_open_reading_frame_109	CK2S/
Hhon_g02479.t1	zinc_finger_AN1_type_containing_1	zf-AN1/zf-AN1/
Hhon_g02480.t1	SAC1_like_phosphatidylinositide_phosphatase	Syja_N/
Hhon_g02481.t1	mitochondrial_ribosomal_protein_L52	MRPL52/
Hhon_g02482.t1	solute_carrier_family_7_member_9	AA_permease_2/
Hhon_g02483.t1	solute_carrier_family_7_member_9	AA_permease_2/
Hhon_g02484.t1	junctophilin_3	MORN/MORN/MORN/MORN/MORN/MORN/
Hhon_g02485.t1	eukaryotic_translation_initiation_factor_2_subunit_beta	eIF-5_eIF-2B/
Hhon_g02486.t1	dehydrogenase_reductase_1	adh_short/
Hhon_g02487.t1	dehydrogenase_reductase_1	adh_short/
Hhon_g02488.t1	dehydrogenase_reductase_1	adh_short/adh_short/
Hhon_g02489.t1	dehydrogenase_reductase_1	adh_short/
Hhon_g02490.t1	centrosomal_protein_72	LRR_9/
Hhon_g02491.t1	tubulin_polymerization_promoting_protein_family_member_2	p25-alpha/
Hhon_g02492.t1	RNA_polymerase_II_subunit_C	RNA_pol_L/RNA_pol_A_bac/
Hhon_g02493.t1	potassium_calcium_activated_channel_subfamily_M_alpha_1	Ion_trans_2/BK_channel_a/
Hhon_g02494.t1	ubiquitin_conjugating_enzyme_E2_C	UQ_con/
Hhon_g02495.t1	RAN_binding_protein_9	SPRY/CLTH/
Hhon_g02496.t1	leucine_rich_melanocyte_differentiation_associated	
Hhon_g02497.t1	leucine_rich_melanocyte_differentiation_associated	
Hhon_g02498.t1	H2A.Z_variant_histone_2	Histone/Histone_H2A_C/
Hhon_g02499.t1	trafficking_protein_particle_complex_8	TRAPPC-Trs85/
Hhon_g02500.t1	sorting_nexin_20	PX/
Hhon_g02501.t1	integrator_complex_subunit_8	
Hhon_g02502.t1	protein_O_glucosyltransferase_2	Filamin/Glyco_transf_90/
Hhon_g02503.t1	TOX_high_mobility_group_box_family_member_4	HMG_box/
Hhon_g02504.t1	protein_arginine_methyltransferase_7	PrmA/
Hhon_g02505.t1		Nbl1_Borealin_N/
Hhon_g02506.t1	DEAH_box_helicase_35	Helicase_C/HA2/OB_NTP_bind/
Hhon_g02507.t1	peptidase_M20_domain_containing_2	Peptidase_M20/M20_dimer/
Hhon_g02508.t1	uracil_phosphoribosyltransferase_homolog	UPRTase/
Hhon_g02509.t1	glucose_fructose_oxidoreductase_domain_containing_2	GFO_IDH_MocA/GFO_IDH_MocA_C/
Hhon_g02510.t1	sirtuin_5	SIR2/
Hhon_g02511.t1	chromosome_transmission_fidelity_factor_8	Ctf8/
Hhon_g02512.t1		Avidin/
Hhon_g02513.t1	neuropeptide_FF_receptor_2	7tm_1/
Hhon_g02514.t1	growth_arrest_specific_8	GAS/
Hhon_g02515.t1	cytochrome_P450_family_3_subfamily_A_member_4	p450/
Hhon_g02516.t1	cytochrome_P450_family_3_subfamily_A_member_5	p450/
Hhon_g02517.t1	leucine_rich_repeat_containing_69	LRR_8/LRR_8/
Hhon_g02518.t1	RAB5_interacting_factor	Rab5ip/
Hhon_g02519.t1	RAB_interacting_factor	Mss4/
Hhon_g02520.t1	rhophilin_Rho_GTPase_binding_protein_2	BRO1/
Hhon_g02521.t1	abhydrolase_domain_containing_4_N_acyl_phospholipase_B	Abhydrolase_1/
Hhon_g02522.t1	6_phosphogluconolactonase	Glucosamine_iso/
Hhon_g02523.t1		
Hhon_g02524.t1	glutamic_pyruvic_transaminase_2	Aminotran_1_2/
Hhon_g02525.t1	2_phosphoxylose_phosphatase_1	His_Phos_2/His_Phos_2/
Hhon_g02526.t1	ubiquinol_cytochrome_c_reductase_Rieske_iron_sulfur_polypeptide_1	UCR_TM/Rieske/
Hhon_g02527.t1		
Hhon_g02528.t1	eukaryotic_translation_initiation_factor_2_alpha_kinase_1	Pkinase/Pkinase/
Hhon_g02529.t1	DEAD_box_helicase_54	DEAD/Helicase_C/
Hhon_g02530.t1	ubiquitin_specific_peptidase_10	UCH/
Hhon_g02531.t1	PIGY_upstream_reading_frame	
